filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch354_read2006_strand.fast5	c3e4c0c6-11f9-4ecb-858e-877e81e31a0c	87b136ffc8ea5a243bdcff637a644011b53b6120	0	354	2	46408.173250	57.480250	114960	FALSE	46408.509250	114288	57.144250	14393	6.663439	0.000000	98.186035	9.783662	98.186035	9.783662
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch294_read732_strand.fast5	8386596c-ff56-4032-b54e-8f062c194b16	87b136ffc8ea5a243bdcff637a644011b53b6120	0	294	1	22682.914750	89.621250	179242	FALSE	22682.944750	179182	89.591250	21892	6.063177	0.000000	85.781746	9.259537	85.781746	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch409_read716_strand.fast5	256a655c-b3f3-4131-805f-500052090c21	87b136ffc8ea5a243bdcff637a644011b53b6120	0	409	2	45243.065250	59.664250	119328	FALSE	45245.294250	114870	57.435250	14873	6.267334	0.000000	109.367363	10.133079	109.367363	10.133079
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch118_read526_strand.fast5	466215ec-9922-4e12-a429-2be1d99af3ee	87b136ffc8ea5a243bdcff637a644011b53b6120	0	118	1	10142.355250	88.152250	176304	TRUE	10149.165750	162683	81.341750	19333	8.473176	0.000000	85.607040	9.259537	85.607040	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch224_read1419_strand.fast5	c71fb8eb-dee1-42fc-ba25-6178263b0db8	87b136ffc8ea5a243bdcff637a644011b53b6120	0	224	2	27592.264500	40.604500	81209	FALSE	27592.334000	81070	40.535000	11283	5.344246	0.000000	101.680199	9.958370	101.680199	9.958370
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch142_read2358_strand.fast5	ec56a91d-ebf2-4ca3-b2ee-056cf1189ecd	87b136ffc8ea5a243bdcff637a644011b53b6120	0	142	1	8740.237500	73.311750	146623	TRUE	8742.204500	142689	71.344750	17280	8.212026	0.000000	93.818329	9.608953	93.818329	9.608953
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch139_read4507_strand.fast5	21a26cb9-0be2-4670-8694-a3cee91d49b8	87b136ffc8ea5a243bdcff637a644011b53b6120	0	139	4	53657.705000	39.185250	78370	FALSE	53657.956500	77867	38.933750	9379	6.289734	0.000000	87.528831	8.910121	87.528831	8.910121
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch313_read2657_strand.fast5	1a7204ee-2f37-4f96-8932-0b15badf9369	87b136ffc8ea5a243bdcff637a644011b53b6120	0	313	4	47475.272750	49.717750	99435	FALSE	47476.414250	97152	48.576250	14220	5.889097	0.000000	89.625328	8.036579	89.625328	8.036579
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch298_read2348_strand.fast5	9485fd6e-71db-4b68-a307-5326443e49df	87b136ffc8ea5a243bdcff637a644011b53b6120	0	298	3	46367.114250	68.225500	136451	TRUE	46367.790750	135098	67.549000	16120	7.713585	0.000000	100.981369	9.608953	100.981369	9.608953
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch270_read545_strand.fast5	f58b24c2-f531-491e-b7ff-feed0e0a6184	87b136ffc8ea5a243bdcff637a644011b53b6120	0	270	2	7253.414000	49.869750	99739	FALSE	7253.431000	99705	49.852750	9690	6.391577	0.000000	108.144402	10.831911	108.144402	10.831911
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch324_read570_strand.fast5	0cad7c09-525e-4ee0-b322-844abc6a6f22	87b136ffc8ea5a243bdcff637a644011b53b6120	0	324	1	8932.926250	80.386750	160773	FALSE	8932.957750	160710	80.355250	23227	5.631978	0.000000	92.071243	9.084829	92.071243	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch412_read8784_strand.fast5	c82546fa-0b64-403a-a249-fbb871a59d07	87b136ffc8ea5a243bdcff637a644011b53b6120	0	412	3	89305.108000	51.091750	102183	FALSE	89307.832000	96735	48.367750	13538	6.844872	0.000000	108.493820	10.482494	108.493820	10.482494
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch366_read1770_strand.fast5	2bd811d2-434f-4e52-9839-7a3c0fe8512a	87b136ffc8ea5a243bdcff637a644011b53b6120	0	366	2	45986.505250	62.966000	125932	FALSE	45987.455750	124031	62.015500	11937	6.369452	0.000000	95.914825	10.133079	95.914825	10.133079
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch258_read2664_strand.fast5	5aa9cfa8-1180-4f63-a66d-506b88f9e6a5	87b136ffc8ea5a243bdcff637a644011b53b6120	0	258	2	30259.436000	52.993750	105987	TRUE	30259.704500	105450	52.725250	12089	7.206874	0.000000	115.307442	9.259537	115.307442	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch324_read1332_strand.fast5	80a5fdf7-03b6-43b1-9165-f1179c572e93	87b136ffc8ea5a243bdcff637a644011b53b6120	0	324	1	21104.843750	68.453500	136907	FALSE	21115.337250	115920	57.960000	16696	5.586258	0.000000	90.848289	8.735413	90.848289	8.735413
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch118_read2334_strand.fast5	f47cefa7-6517-48b7-96c1-2dffec98d965	87b136ffc8ea5a243bdcff637a644011b53b6120	0	118	1	37289.123500	46.253000	92506	TRUE	37289.130000	92493	46.246500	10644	10.158039	0.000000	85.781746	9.084829	85.781746	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch88_read4943_strand.fast5	81286bcf-7863-4e20-a891-aa0d18b217d7	87b136ffc8ea5a243bdcff637a644011b53b6120	0	88	4	110299.002750	51.705000	103410	TRUE	110308.849750	83716	41.858000	11352	7.107201	0.000000	98.884865	8.385996	98.884865	8.385996
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch291_read161080_strand.fast5	807cd8e6-bdae-42c2-b17b-c7c955a15331	87b136ffc8ea5a243bdcff637a644011b53b6120	0	291	2	144574.076250	61.716750	123433	TRUE	144574.143750	123298	61.649250	15820	8.340361	0.000000	87.703537	8.910121	87.703537	8.910121
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch162_read1065_strand.fast5	6d10228e-f974-45f9-a9f0-e2cda02f7028	87b136ffc8ea5a243bdcff637a644011b53b6120	0	162	2	18419.624500	49.951750	99903	FALSE	18420.028000	99096	49.548250	12844	6.485393	0.000000	94.691872	9.608953	94.691872	9.608953
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch422_read940_strand.fast5	326ca800-e7d2-4bc7-a4f5-373d2913ba29	87b136ffc8ea5a243bdcff637a644011b53b6120	0	422	4	44255.838000	70.611750	141223	TRUE	44259.434000	134031	67.015750	17537	7.363798	0.000000	105.698486	9.259537	105.698486	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch381_read12341_strand.fast5	4082f5ad-f4a1-49c7-9a57-96d82846b1a2	87b136ffc8ea5a243bdcff637a644011b53b6120	0	381	3	15334.020250	82.160250	164320	TRUE	15334.041750	164277	82.138750	19889	7.198520	0.000000	93.818329	9.084829	93.818329	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch138_read698_strand.fast5	4be9da3b-88c7-42e4-8bf0-f2b37377e1b0	87b136ffc8ea5a243bdcff637a644011b53b6120	0	138	2	19946.005500	34.812500	69625	TRUE	19948.062500	65511	32.755500	6765	8.613687	0.000000	97.137787	9.608953	97.137787	9.608953
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch418_read3292_strand.fast5	b508a0f9-ce9d-4e29-a5b8-a6b23d308b8a	87b136ffc8ea5a243bdcff637a644011b53b6120	0	418	2	26934.690500	40.300000	80600	TRUE	26940.148000	69685	34.842500	9600	9.667010	0.000000	92.595367	9.084829	92.595367	9.084829
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch175_read80_strand.fast5	565ccf5b-a8d5-4a02-a680-a0cd0b0b2f17	87b136ffc8ea5a243bdcff637a644011b53b6120	0	175	1	5668.328750	68.636750	137273	TRUE	5668.403750	137123	68.561750	17918	7.061562	0.000000	95.041290	9.259537	95.041290	9.259537
kelvin_20160617_FN_MN17519_sequencing_run_sample_id_74930_ch241_read2385_strand.fast5	cc8ff87f-c718-4e83-88dd-d6d8f617e7f0	87b136ffc8ea5a243bdcff637a644011b53b6120	0	241	3	98787.089750	42.743250	85486	TRUE	98796.028250	67609	33.804750	9270	7.598411	0.000000	89.625328	9.608953	89.625328	9.608953
