Chr	Pos_start	Pos_end	Coverage	Methylation	Strand
NC_000913.3	3496741	3496742	1	1	+
NC_000913.3	3496753	3496754	1	1	+
NC_000913.3	3496775	3496776	1	1	+
NC_000913.3	3496789	3496790	1	1	+
NC_000913.3	3496792	3496793	1	1	+
NC_000913.3	3496855	3496856	1	1	+
NC_000913.3	3496868	3496869	1	1	+
NC_000913.3	3496885	3496886	1	1	+
NC_000913.3	3497053	3497054	1	1	+
NC_000913.3	3497076	3497077	1	1	+
NC_000913.3	3497102	3497103	1	1	+
NC_000913.3	3497106	3497107	1	1	+
NC_000913.3	3497187	3497188	2	0.5	+
NC_000913.3	3497189	3497190	2	0.5	+
NC_000913.3	3497202	3497203	2	0.5	+
NC_000913.3	3497226	3497227	2	0.5	+
NC_000913.3	3497244	3497245	2	0.5	+
NC_000913.3	3497279	3497280	2	0.5	+
NC_000913.3	3497295	3497296	2	0.5	+
NC_000913.3	3497318	3497319	2	0.5	+
NC_000913.3	3497343	3497344	2	1	+
NC_000913.3	3497355	3497356	2	1	+
NC_000913.3	3497379	3497380	2	0.5	+
NC_000913.3	3497382	3497383	2	1	+
NC_000913.3	3497396	3497397	2	0.5	+
NC_000913.3	3497412	3497413	2	0.5	+
NC_000913.3	3497421	3497422	2	0.5	+
NC_000913.3	3497426	3497427	1	1	+
NC_000913.3	3497447	3497448	2	0.5	+
NC_000913.3	3497518	3497519	2	0.5	+
NC_000913.3	3497531	3497532	2	1	+
NC_000913.3	3497534	3497535	2	1	+
NC_000913.3	3497544	3497545	2	0.5	+
NC_000913.3	3497576	3497577	2	1	+
NC_000913.3	3497616	3497617	1	1	+
NC_000913.3	3497618	3497619	2	0.5	+
NC_000913.3	3497643	3497644	2	0.5	+
NC_000913.3	3497654	3497655	2	1	+
NC_000913.3	3497660	3497661	2	1	+
NC_000913.3	3497690	3497691	1	1	+
NC_000913.3	3497715	3497716	1	1	+
NC_000913.3	3497761	3497762	2	0.5	+
NC_000913.3	3497771	3497772	2	0.5	+
NC_000913.3	3497802	3497803	2	0.5	+
NC_000913.3	3497863	3497864	2	1	+
NC_000913.3	3497865	3497866	2	0.5	+
NC_000913.3	3497880	3497881	1	1	+
NC_000913.3	3497883	3497884	2	1	+
NC_000913.3	3497897	3497898	2	0.5	+
NC_000913.3	3497902	3497903	2	0.5	+
NC_000913.3	3497925	3497926	2	0.5	+
NC_000913.3	3497931	3497932	2	0.5	+
NC_000913.3	3497942	3497943	2	0.5	+
NC_000913.3	3497957	3497958	2	0.5	+
NC_000913.3	3498006	3498007	2	0.5	+
NC_000913.3	3498009	3498010	2	0.5	+
NC_000913.3	3498036	3498037	2	0.5	+
NC_000913.3	3498053	3498054	2	0.5	+
NC_000913.3	3498062	3498063	2	0.5	+
NC_000913.3	3498065	3498066	2	0.5	+
NC_000913.3	3498088	3498089	2	0.5	+
NC_000913.3	3498090	3498091	2	0.5	+
NC_000913.3	3498096	3498097	2	0.5	+
NC_000913.3	3498102	3498103	2	0.5	+
NC_000913.3	3498112	3498113	2	0.5	+
NC_000913.3	3498115	3498116	2	0.5	+
NC_000913.3	3498135	3498136	2	1	+
NC_000913.3	3498140	3498141	2	1	+
NC_000913.3	3498150	3498151	2	0.5	+
NC_000913.3	3498167	3498168	2	0.5	+
NC_000913.3	3498213	3498214	2	1	+
NC_000913.3	3498235	3498236	2	0.5	+
NC_000913.3	3498312	3498313	2	0.5	+
NC_000913.3	3498316	3498317	2	0.5	+
NC_000913.3	3498333	3498334	2	1	+
NC_000913.3	3498349	3498350	2	1	+
NC_000913.3	3498375	3498376	2	0.5	+
NC_000913.3	3498381	3498382	2	0.5	+
NC_000913.3	3498385	3498386	2	1	+
NC_000913.3	3498392	3498393	2	0.5	+
NC_000913.3	3498411	3498412	2	0.5	+
NC_000913.3	3498434	3498435	2	0.5	+
NC_000913.3	3498438	3498439	2	0.5	+
NC_000913.3	3498453	3498454	2	0.5	+
NC_000913.3	3498462	3498463	2	0.5	+
NC_000913.3	3498504	3498505	2	0.5	+
NC_000913.3	3498510	3498511	2	0.5	+
NC_000913.3	3498567	3498568	2	0.5	+
NC_000913.3	3498585	3498586	2	0.5	+
NC_000913.3	3498604	3498605	1	1	+
NC_000913.3	3498607	3498608	2	1	+
NC_000913.3	3498609	3498610	2	1	+
NC_000913.3	3498614	3498615	2	1	+
NC_000913.3	3498619	3498620	2	1	+
NC_000913.3	3498630	3498631	2	1	+
NC_000913.3	3498639	3498640	2	0.5	+
NC_000913.3	3498654	3498655	2	0.5	+
NC_000913.3	3498688	3498689	2	0.5	+
NC_000913.3	3498695	3498696	2	1	+
NC_000913.3	3498709	3498710	1	1	+
NC_000913.3	3498711	3498712	2	0.5	+
NC_000913.3	3498751	3498752	2	0.5	+
NC_000913.3	3498783	3498784	2	0.5	+
NC_000913.3	3498794	3498795	2	0.5	+
NC_000913.3	3498867	3498868	2	0.5	+
NC_000913.3	3498897	3498898	2	0.5	+
NC_000913.3	3498941	3498942	2	0.5	+
NC_000913.3	3498956	3498957	2	0.5	+
NC_000913.3	3498987	3498988	2	0.5	+
NC_000913.3	3499017	3499018	2	0.5	+
NC_000913.3	3499029	3499030	2	1	+
NC_000913.3	3499061	3499062	2	0.5	+
NC_000913.3	3499075	3499076	1	1	+
NC_000913.3	3499077	3499078	2	0.5	+
NC_000913.3	3499091	3499092	1	1	+
NC_000913.3	3499115	3499116	2	0.5	+
NC_000913.3	3499136	3499137	2	1	+
NC_000913.3	3499317	3499318	2	0.5	+
NC_000913.3	3499339	3499340	2	1	+
NC_000913.3	3499381	3499382	1	1	-
NC_000913.3	3499493	3499494	2	0.5	+
NC_000913.3	3499494	3499495	2	0.5	-
NC_000913.3	3499526	3499527	2	1	-
NC_000913.3	3499545	3499546	2	1	+
NC_000913.3	3499546	3499547	2	1	-
NC_000913.3	3499562	3499563	2	0.5	+
NC_000913.3	3499563	3499564	2	0.5	-
NC_000913.3	3499590	3499591	2	1	+
NC_000913.3	3499591	3499592	2	0.5	-
NC_000913.3	3499597	3499598	2	0.5	-
NC_000913.3	3499630	3499631	2	0.5	+
NC_000913.3	3499631	3499632	2	1	-
NC_000913.3	3499640	3499641	2	0.5	+
