ID	Chr	Pos	Strand	Score
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499495	-	2.99
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499527	-	3.55
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499547	-	6.19
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499564	-	4.45
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499592	-	13.59
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499598	-	13.59
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499632	-	7.22
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499642	-	7.22
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499655	-	20.79
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499658	-	20.79
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499674	-	4.46
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499680	-	4.46
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499709	-	0.8
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499713	-	0.8
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499768	-	17.93
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499770	-	17.93
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499780	-	17.93
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499884	-	0.15
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499907	-	0.87
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499932	-	-5.03
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499940	-	-5.03
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499952	-	3.12
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499964	-	21.29
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499967	-	21.29
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499970	-	21.29
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499979	-	21.29
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499982	-	21.29
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3499988	-	21.29
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500026	-	11.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500032	-	11.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500035	-	11.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500044	-	11.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500051	-	11.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500053	-	11.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500066	-	6.23
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500083	-	14.97
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500093	-	14.97
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500101	-	14.97
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500114	-	5.78
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500122	-	5.78
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500132	-	5.78
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500159	-	8.07
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500166	-	8.07
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500170	-	8.07
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500186	-	3.08
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500210	-	36.64
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500215	-	36.64
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500218	-	36.64
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500227	-	36.64
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500236	-	36.64
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500242	-	36.64
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500269	-	16.22
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500276	-	16.22
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500281	-	16.22
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500288	-	16.22
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500300	-	7.53
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500303	-	7.53
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500306	-	7.53
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500318	-	3.25
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500340	-	30.82
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500345	-	30.82
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500354	-	30.82
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500357	-	30.82
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500362	-	30.82
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500371	-	30.82
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500384	-	-1.91
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500398	-	13.18
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500408	-	13.18
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500440	-	5.66
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500453	-	0.75
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500470	-	10.46
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500477	-	10.46
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500482	-	10.46
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500497	-	4.51
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500506	-	4.51
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500530	-	2.39
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500537	-	2.39
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500564	-	4.77
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500567	-	4.77
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500582	-	1.93
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500598	-	10.63
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500602	-	10.63
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500650	-	2.63
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500663	-	9.39
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500678	-	5.15
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500687	-	5.15
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500701	-	15.52
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500704	-	15.52
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500711	-	15.52
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500714	-	15.52
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500732	-	0.69
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500738	-	0.69
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500747	-	0.69
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500770	-	11.57
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500773	-	11.57
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500780	-	11.57
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500794	-	4.09
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500807	-	4.97
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500821	-	-0.38
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500823	-	-0.38
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500834	-	6.4
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500836	-	6.4
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500842	-	6.4
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500870	-	5.26
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500884	-	9.07
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500896	-	5.18
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500899	-	5.18
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500926	-	0.24
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500948	-	11.68
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3500954	-	11.68
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501017	-	-0.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501036	-	7.39
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501042	-	7.39
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501044	-	7.39
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501047	-	7.39
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501058	-	9.3
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501066	-	9.3
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501073	-	9.3
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501080	-	9.3
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501098	-	7.21
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501106	-	7.21
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501125	-	6.3
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501148	-	4.49
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501155	-	4.49
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501167	-	12.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501170	-	12.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501176	-	12.7
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501203	-	2.65
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501214	-	0.99
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501219	-	0.99
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501225	-	0.99
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501236	-	-5.26
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501244	-	-5.26
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501292	-	-0.05
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501310	-	3.29
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501352	-	19.12
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501357	-	19.12
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501367	-	19.12
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501373	-	19.12
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501392	-	13.69
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501394	-	13.69
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501404	-	13.69
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501415	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501424	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501429	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501439	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501441	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501444	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501450	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501453	-	27.76
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501465	-	3.77
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501470	-	3.77
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501478	-	3.77
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501493	-	6.18
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501502	-	6.18
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501517	-	4.15
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501528	-	-1.65
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501533	-	-1.65
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501538	-	-1.65
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501541	-	-1.65
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501545	-	-1.65
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501550	-	-1.65
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501562	-	8.83
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501574	-	6.5
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501583	-	6.5
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501600	-	3.47
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501614	-	8.94
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501622	-	8.94
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501625	-	8.94
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501636	-	5.04
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501639	-	5.04
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501650	-	14.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501652	-	14.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501654	-	14.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501663	-	14.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501672	-	14.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501675	-	14.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501678	-	14.72
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501703	-	5.75
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501742	-	1.6
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501764	-	7.98
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501769	-	7.98
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501771	-	7.98
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501774	-	7.98
094dfe6b-23ed-4195-8876-805a399fade5	NC_000913.3	3501778	-	7.98
