names	start	values	strand
NC_000913.3	3496742	0.3333	+
NC_000913.3	3496754	0.3333	+
NC_000913.3	3496762	0.3333	+
NC_000913.3	3496776	0.3333	+
NC_000913.3	3496782	0.3333	+
NC_000913.3	3496790	0.3333	+
NC_000913.3	3496793	0.3333	+
NC_000913.3	3496835	0.3333	+
NC_000913.3	3496840	0.3333	+
NC_000913.3	3496842	0.3333	+
NC_000913.3	3496856	0.0	+
NC_000913.3	3496869	0.3333	+
NC_000913.3	3496871	0.3333	+
NC_000913.3	3496893	0.3333	+
NC_000913.3	3496933	0.3333	+
NC_000913.3	3497031	0.3333	+
NC_000913.3	3497043	0.3333	+
NC_000913.3	3497045	0.3333	+
NC_000913.3	3497077	0.3333	+
NC_000913.3	3497103	0.3333	+
NC_000913.3	3497146	0.3333	+
NC_000913.3	3497158	0.3333	+
NC_000913.3	3497167	0.3333	+
NC_000913.3	3497171	0.3333	+
NC_000913.3	3497188	0.3333	+
NC_000913.3	3497203	0.3333	+
NC_000913.3	3497224	0.5	+
NC_000913.3	3497227	0.5	+
NC_000913.3	3497245	0.3333	+
NC_000913.3	3497280	0.3333	+
NC_000913.3	3497319	0.3333	+
NC_000913.3	3497344	0.5	+
NC_000913.3	3497356	0.3333	+
NC_000913.3	3497380	0.5	+
NC_000913.3	3497383	0.5	+
NC_000913.3	3497397	0.5	+
NC_000913.3	3497413	0.5	+
NC_000913.3	3497422	0.25	+
NC_000913.3	3497425	0.3333	+
NC_000913.3	3497427	0.3333	+
NC_000913.3	3497448	0.5	+
NC_000913.3	3497514	0.5	+
NC_000913.3	3497519	0.3333	+
NC_000913.3	3497532	0.5	+
NC_000913.3	3497535	0.25	+
NC_000913.3	3497545	0.3333	+
NC_000913.3	3497575	0.5	+
NC_000913.3	3497577	0.5	+
NC_000913.3	3497587	0.5	+
NC_000913.3	3497599	0.5	+
NC_000913.3	3497610	0.3333	+
NC_000913.3	3497617	0.3333	+
NC_000913.3	3497632	0.3333	+
NC_000913.3	3497655	0.5	+
NC_000913.3	3497661	0.3333	+
NC_000913.3	3497691	0.3333	+
NC_000913.3	3497716	0.3333	+
NC_000913.3	3497748	0.3333	+
NC_000913.3	3497751	0.3333	+
NC_000913.3	3497757	0.3333	+
NC_000913.3	3497766	0.3333	+
NC_000913.3	3497772	0.3333	+
NC_000913.3	3497827	0.5	+
NC_000913.3	3497858	0.5	+
NC_000913.3	3497860	0.3333	+
NC_000913.3	3497864	0.25	+
NC_000913.3	3497866	0.25	+
NC_000913.3	3497881	0.3333	+
NC_000913.3	3497884	0.3333	+
NC_000913.3	3497903	0.25	+
NC_000913.3	3497926	0.3333	+
NC_000913.3	3497932	0.3333	+
NC_000913.3	3497936	0.25	+
NC_000913.3	3497943	0.3333	+
NC_000913.3	3497958	0.3333	+
NC_000913.3	3497977	0.0	+
NC_000913.3	3498007	0.3333	+
NC_000913.3	3498010	0.3333	+
NC_000913.3	3498054	0.3333	+
NC_000913.3	3498063	0.5	+
NC_000913.3	3498076	0.3333	+
NC_000913.3	3498078	0.25	+
NC_000913.3	3498089	0.0	+
NC_000913.3	3498091	0.0	+
NC_000913.3	3498103	0.3333	+
NC_000913.3	3498113	0.25	+
NC_000913.3	3498116	0.25	+
NC_000913.3	3498130	0.3333	+
NC_000913.3	3498136	0.5	+
NC_000913.3	3498141	0.5	+
NC_000913.3	3498144	0.5	+
NC_000913.3	3498151	0.0	+
NC_000913.3	3498168	0.25	+
NC_000913.3	3498171	0.25	+
NC_000913.3	3498182	0.3333	+
NC_000913.3	3498201	0.3333	+
NC_000913.3	3498236	0.5	+
NC_000913.3	3498291	0.3333	+
NC_000913.3	3498298	0.5	+
NC_000913.3	3498301	0.3333	+
NC_000913.3	3498311	0.5	+
NC_000913.3	3498313	0.5	+
NC_000913.3	3498317	0.5	+
NC_000913.3	3498334	0.3333	+
NC_000913.3	3498350	0.5	+
NC_000913.3	3498353	0.5	+
NC_000913.3	3498356	0.3333	+
NC_000913.3	3498376	0.3333	+
NC_000913.3	3498382	0.3333	+
NC_000913.3	3498393	0.5	+
NC_000913.3	3498399	0.3333	+
NC_000913.3	3498435	0.5	+
NC_000913.3	3498439	0.3333	+
NC_000913.3	3498459	0.3333	+
NC_000913.3	3498463	0.3333	+
NC_000913.3	3498470	0.5	+
NC_000913.3	3498472	0.5	+
NC_000913.3	3498501	0.3333	+
NC_000913.3	3498568	0.3333	+
NC_000913.3	3498586	0.5	+
NC_000913.3	3498605	0.3333	+
NC_000913.3	3498608	0.5	+
NC_000913.3	3498610	0.5	+
NC_000913.3	3498615	0.5	+
NC_000913.3	3498620	0.5	+
NC_000913.3	3498628	0.5	+
NC_000913.3	3498631	0.5	+
NC_000913.3	3498638	0.5	+
NC_000913.3	3498640	0.3333	+
NC_000913.3	3498642	0.3333	+
NC_000913.3	3498655	0.3333	+
NC_000913.3	3498689	0.5	+
NC_000913.3	3498696	0.3333	+
NC_000913.3	3498710	0.3333	+
NC_000913.3	3498712	0.0	+
NC_000913.3	3498719	0.5	+
NC_000913.3	3498733	0.3333	+
NC_000913.3	3498784	0.3333	+
NC_000913.3	3498801	0.5	+
NC_000913.3	3498846	0.5	+
NC_000913.3	3498861	0.3333	+
NC_000913.3	3498866	0.5	+
NC_000913.3	3498868	0.5	+
NC_000913.3	3498883	0.5	+
NC_000913.3	3498887	0.5	+
NC_000913.3	3498898	0.3333	+
NC_000913.3	3498913	0.5	+
NC_000913.3	3498919	0.25	+
NC_000913.3	3498942	0.3333	+
NC_000913.3	3498957	0.5	+
NC_000913.3	3498988	0.3333	+
NC_000913.3	3498990	0.3333	+
NC_000913.3	3499018	0.3333	+
