ID	Chr	Pos	Strand	Score
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496729	+	-0.7909239627741578
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496742	+	-5.724629340577741
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496754	+	-3.410490896523462
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496762	+	-3.469905391739804
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496776	+	-2.0438103529116085
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496782	+	-4.797868538999849
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496790	+	-2.9830988024167193
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496793	+	-2.1318020645155182
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496811	+	0.2940753330638516
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496823	+	-0.00509995759600354
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496835	+	-2.428004765264502
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496840	+	-2.9522620530788544
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496842	+	-3.599364780467228
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496853	+	-0.9781537565926803
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496856	+	2.3646162898798355
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496869	+	-6.521576585612682
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496871	+	-3.382600045497179
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496886	+	0.9432302754559302
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496893	+	-3.8500794702420675
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3496933	+	-4.006491535001904
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497031	+	-5.452104708825919
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497038	+	-1.1007382624329956
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497043	+	-4.868923405929061
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497045	+	-2.5124091766553374
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497054	+	-0.4053415983931786
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497061	+	-0.4138090021656533
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497073	+	-0.367440555367431
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497077	+	-5.049689876431586
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497095	+	1.8841705089581282
8386596c-ff56-4032-b54e-8f062c194b16	NC_000913.3	3497103	+	-3.9894245186624273
