Pos	Unmodified_read	Modified_read	Coverage	Methylation_frequency
3499526	1	0	1	0.0
3499546	1	0	1	0.0
3499563	1	0	1	0.0
3499591	1	0	1	0.0
3499597	1	0	1	0.0
3499631	1	0	1	0.0
3499641	1	0	1	0.0
3499654	1	0	1	0.0
3499657	1	0	1	0.0
3499679	1	0	1	0.0
3499708	1	0	1	0.0
3499767	1	0	1	0.0
3499769	1	0	1	0.0
3499779	1	0	1	0.0
3499883	1	0	1	0.0
3499906	1	0	1	0.0
3499931	1	0	1	0.0
3499939	1	0	1	0.0
3499951	1	0	1	0.0
3499963	1	0	1	0.0
3499969	1	0	1	0.0
3499978	1	0	1	0.0
3499987	1	0	1	0.0
3500031	1	1	2	0.5
3500034	2	0	2	0.0
3500043	2	0	2	0.0
3500050	2	0	2	0.0
3500052	2	0	2	0.0
3500082	2	1	3	0.3333333333333333
3500092	1	2	3	0.6666666666666666
3500100	1	2	3	0.6666666666666666
3500113	3	0	3	0.0
3500121	3	0	3	0.0
3500131	2	1	3	0.3333333333333333
3500158	3	0	3	0.0
3500165	3	0	3	0.0
3500169	1	2	3	0.6666666666666666
3500185	3	0	3	0.0
3500217	2	1	3	0.3333333333333333
3500226	2	1	3	0.3333333333333333
3500268	2	1	3	0.3333333333333333
3500275	1	2	3	0.6666666666666666
3500280	2	1	3	0.3333333333333333
3500287	2	1	3	0.3333333333333333
3500299	3	0	3	0.0
3500302	1	2	3	0.6666666666666666
3500305	2	1	3	0.3333333333333333
3500317	2	1	3	0.3333333333333333
3500339	1	2	3	0.6666666666666666
3500344	2	1	3	0.3333333333333333
3500353	1	2	3	0.6666666666666666
3500370	2	1	3	0.3333333333333333
3500383	3	0	3	0.0
3500397	1	2	3	0.6666666666666666
3500407	1	2	3	0.6666666666666666
3500439	1	2	3	0.6666666666666666
3500452	2	1	3	0.3333333333333333
3500469	1	2	3	0.6666666666666666
3500476	1	2	3	0.6666666666666666
3500481	3	0	3	0.0
3500496	1	2	3	0.6666666666666666
3500505	3	0	3	0.0
3500529	2	1	3	0.3333333333333333
3500563	2	2	4	0.5
3500566	2	2	4	0.5
3500581	4	0	4	0.0
3500597	3	1	4	0.25
3500601	2	2	4	0.5
3500649	4	0	4	0.0
3500662	3	1	4	0.25
3500677	4	0	4	0.0
3500686	3	1	4	0.25
3500700	4	0	4	0.0
3500703	2	2	4	0.5
3500710	3	1	4	0.25
3500713	4	0	4	0.0
3500731	2	2	4	0.5
3500737	3	1	4	0.25
3500746	4	0	4	0.0
3500769	2	2	4	0.5
3500772	2	2	4	0.5
3500779	4	0	4	0.0
3500793	4	0	4	0.0
3500806	3	1	4	0.25
3500820	3	1	4	0.25
3500822	3	1	4	0.25
3500833	3	1	4	0.25
3500835	2	2	4	0.5
3500841	2	2	4	0.5
3500869	4	0	4	0.0
3500883	3	1	4	0.25
3500895	1	3	4	0.75
3500898	1	3	4	0.75
3500925	4	0	4	0.0
3500947	3	1	4	0.25
3500953	2	2	4	0.5
3501016	3	1	4	0.25
3501035	2	2	4	0.5
3501041	3	1	4	0.25
3501043	2	2	4	0.5
3501046	2	2	4	0.5
3501057	3	1	4	0.25
3501065	4	0	4	0.0
3501072	2	2	4	0.5
3501079	2	2	4	0.5
3501097	2	2	4	0.5
3501105	2	2	4	0.5
3501124	1	3	4	0.75
3501147	4	1	5	0.2
3501154	5	0	5	0.0
3501166	2	3	5	0.6
3501169	2	3	5	0.6
3501175	3	2	5	0.4
3501202	2	3	5	0.6
3501213	5	0	5	0.0
3501218	3	2	5	0.4
3501224	3	2	5	0.4
3501235	3	2	5	0.4
3501291	5	0	5	0.0
3501309	3	2	5	0.4
3501351	5	0	5	0.0
3501356	3	2	5	0.4
3501366	4	1	5	0.2
3501372	2	3	5	0.6
3501391	4	1	5	0.2
3501393	3	2	5	0.4
3501403	3	2	5	0.4
3501414	4	1	5	0.2
3501423	2	3	5	0.6
3501428	3	2	5	0.4
3501438	4	1	5	0.2
3501440	3	2	5	0.4
3501443	3	2	5	0.4
3501449	2	3	5	0.6
3501452	3	2	5	0.4
3501464	1	4	5	0.8
3501477	4	1	5	0.2
3501492	3	2	5	0.4
3501501	5	0	5	0.0
3501516	5	0	5	0.0
3501527	2	3	5	0.6
3501532	1	4	5	0.8
3501537	1	4	5	0.8
3501540	2	3	5	0.6
3501544	3	2	5	0.4
3501549	1	4	5	0.8
3501561	5	1	6	0.16666666666666666
3501573	5	1	6	0.16666666666666666
3501582	5	1	6	0.16666666666666666
3501599	3	3	6	0.5
3501613	6	0	6	0.0
3501621	6	0	6	0.0
3501624	5	1	6	0.16666666666666666
3501635	2	4	6	0.6666666666666666
3501638	4	3	7	0.42857142857142855
3501649	7	0	7	0.0
3501651	6	1	7	0.14285714285714285
3501653	7	0	7	0.0
3501662	5	2	7	0.2857142857142857
3501671	6	1	7	0.14285714285714285
3501674	5	2	7	0.2857142857142857
3501677	6	1	7	0.14285714285714285
3501702	7	1	8	0.125
3501741	8	1	9	0.1111111111111111
3501763	4	5	9	0.5555555555555556
3501768	7	2	9	0.2222222222222222
3501770	7	2	9	0.2222222222222222
3501773	7	2	9	0.2222222222222222
3501777	6	3	9	0.3333333333333333
3501779	6	3	9	0.3333333333333333
3501786	6	3	9	0.3333333333333333
3501801	9	0	9	0.0
3501818	8	1	9	0.1111111111111111
3501824	5	4	9	0.4444444444444444
3501828	6	3	9	0.3333333333333333
3501841	6	3	9	0.3333333333333333
3501862	8	1	9	0.1111111111111111
3501893	5	4	9	0.4444444444444444
3501906	9	0	9	0.0
3501914	9	0	9	0.0
3501920	7	2	9	0.2222222222222222
3501925	9	0	9	0.0
3501929	6	3	9	0.3333333333333333
3501956	7	2	9	0.2222222222222222
3501977	6	3	9	0.3333333333333333
3501981	4	5	9	0.5555555555555556
3501987	3	6	9	0.6666666666666666
3501999	8	1	9	0.1111111111111111
3502009	7	2	9	0.2222222222222222
3502019	8	1	9	0.1111111111111111
3502032	5	4	9	0.4444444444444444
3502037	5	4	9	0.4444444444444444
3502041	8	1	9	0.1111111111111111
3502046	7	2	9	0.2222222222222222
3502062	8	1	9	0.1111111111111111
3502078	7	2	9	0.2222222222222222
3502089	7	2	9	0.2222222222222222
3502093	6	3	9	0.3333333333333333
3502095	5	4	9	0.4444444444444444
3502117	6	3	9	0.3333333333333333
3502128	6	3	9	0.3333333333333333
3502134	4	5	9	0.5555555555555556
3502140	2	7	9	0.7777777777777778
3502146	4	5	9	0.5555555555555556
3502149	5	4	9	0.4444444444444444
3502157	7	2	9	0.2222222222222222
3502172	10	0	10	0.0
3502184	9	1	10	0.1
3502197	9	2	11	0.18181818181818182
3502250	10	1	11	0.09090909090909091
3502258	6	5	11	0.45454545454545453
3502261	7	4	11	0.36363636363636365
3502269	6	5	11	0.45454545454545453
3502300	11	0	11	0.0
3502305	11	0	11	0.0
3502311	11	0	11	0.0
3502316	11	0	11	0.0
3502324	10	1	11	0.09090909090909091
3502338	8	3	11	0.2727272727272727
3502363	8	3	11	0.2727272727272727
3502373	8	3	11	0.2727272727272727
3502390	8	3	11	0.2727272727272727
3502397	7	4	11	0.36363636363636365
3502408	10	1	11	0.09090909090909091
3502420	7	4	11	0.36363636363636365
3502423	5	6	11	0.5454545454545454
3502429	9	2	11	0.18181818181818182
3502441	6	5	11	0.45454545454545453
3502445	8	3	11	0.2727272727272727
3502449	8	3	11	0.2727272727272727
3502453	8	3	11	0.2727272727272727
3502455	8	3	11	0.2727272727272727
3502459	8	3	11	0.2727272727272727
3502461	8	3	11	0.2727272727272727
3502464	5	6	11	0.5454545454545454
3502476	9	2	11	0.18181818181818182
3502480	7	4	11	0.36363636363636365
3502500	9	2	11	0.18181818181818182
3502506	10	1	11	0.09090909090909091
