Chr	Pos_start	Pos_end	Coverage	Methylation	Strand
NC_000913.3	3496741	3496742	1	1	+
NC_000913.3	3496753	3496754	1	1	+
NC_000913.3	3496761	3496762	1	1	+
NC_000913.3	3496775	3496776	1	1	+
NC_000913.3	3496781	3496782	1	1	+
NC_000913.3	3496789	3496790	1	1	+
NC_000913.3	3496792	3496793	1	1	+
NC_000913.3	3496834	3496835	1	1	+
NC_000913.3	3496839	3496840	1	1	+
NC_000913.3	3496841	3496842	1	1	+
NC_000913.3	3496868	3496869	1	1	+
NC_000913.3	3496870	3496871	1	1	+
NC_000913.3	3496892	3496893	1	1	+
NC_000913.3	3496932	3496933	1	1	+
NC_000913.3	3497030	3497031	1	1	+
NC_000913.3	3497042	3497043	1	1	+
NC_000913.3	3497044	3497045	1	1	+
NC_000913.3	3497076	3497077	1	1	+
NC_000913.3	3497102	3497103	1	1	+
NC_000913.3	3497141	3497142	1	0	+
NC_000913.3	3497145	3497146	1	1	+
NC_000913.3	3497157	3497158	1	1	+
NC_000913.3	3497166	3497167	1	1	+
NC_000913.3	3497170	3497171	1	1	+
NC_000913.3	3497187	3497188	1	1	+
NC_000913.3	3497202	3497203	1	1	+
NC_000913.3	3497210	3497211	1	1	+
NC_000913.3	3497223	3497224	2	1	+
NC_000913.3	3497226	3497227	2	1	+
NC_000913.3	3497244	3497245	1	1	+
NC_000913.3	3497279	3497280	1	1	+
NC_000913.3	3497318	3497319	1	1	+
NC_000913.3	3497343	3497344	2	1	+
NC_000913.3	3497355	3497356	1	1	+
NC_000913.3	3497379	3497380	2	1	+
NC_000913.3	3497382	3497383	2	1	+
NC_000913.3	3497396	3497397	2	1	+
NC_000913.3	3497412	3497413	2	1	+
NC_000913.3	3497421	3497422	1	1	+
NC_000913.3	3497424	3497425	1	1	+
NC_000913.3	3497426	3497427	1	1	+
NC_000913.3	3497447	3497448	2	1	+
NC_000913.3	3497513	3497514	2	1	+
NC_000913.3	3497518	3497519	1	1	+
NC_000913.3	3497531	3497532	2	1	+
NC_000913.3	3497534	3497535	2	0.5	+
NC_000913.3	3497544	3497545	1	1	+
NC_000913.3	3497574	3497575	2	1	+
NC_000913.3	3497576	3497577	2	1	+
NC_000913.3	3497586	3497587	2	1	+
NC_000913.3	3497598	3497599	2	1	+
NC_000913.3	3497609	3497610	1	1	+
NC_000913.3	3497616	3497617	1	1	+
NC_000913.3	3497618	3497619	1	1	+
NC_000913.3	3497631	3497632	1	1	+
NC_000913.3	3497654	3497655	2	1	+
NC_000913.3	3497660	3497661	1	1	+
NC_000913.3	3497690	3497691	1	1	+
NC_000913.3	3497715	3497716	1	1	+
NC_000913.3	3497747	3497748	1	1	+
NC_000913.3	3497750	3497751	1	1	+
NC_000913.3	3497756	3497757	1	1	+
NC_000913.3	3497765	3497766	1	1	+
NC_000913.3	3497771	3497772	1	1	+
NC_000913.3	3497826	3497827	2	1	+
NC_000913.3	3497857	3497858	2	1	+
NC_000913.3	3497859	3497860	1	1	+
NC_000913.3	3497863	3497864	2	0.5	+
NC_000913.3	3497865	3497866	2	0.5	+
NC_000913.3	3497880	3497881	1	1	+
NC_000913.3	3497883	3497884	1	1	+
NC_000913.3	3497902	3497903	2	0.5	+
NC_000913.3	3497925	3497926	1	1	+
NC_000913.3	3497931	3497932	1	1	+
NC_000913.3	3497935	3497936	2	0.5	+
NC_000913.3	3497942	3497943	1	1	+
NC_000913.3	3497957	3497958	1	1	+
NC_000913.3	3497976	3497977	1	0	+
NC_000913.3	3498006	3498007	1	1	+
NC_000913.3	3498009	3498010	1	1	+
NC_000913.3	3498053	3498054	1	1	+
NC_000913.3	3498062	3498063	2	1	+
NC_000913.3	3498075	3498076	1	1	+
NC_000913.3	3498077	3498078	2	0.5	+
NC_000913.3	3498088	3498089	1	0	+
NC_000913.3	3498090	3498091	1	0	+
NC_000913.3	3498102	3498103	2	1	+
NC_000913.3	3498112	3498113	2	0.5	+
NC_000913.3	3498115	3498116	2	0.5	+
NC_000913.3	3498129	3498130	1	1	+
NC_000913.3	3498135	3498136	2	1	+
NC_000913.3	3498140	3498141	2	1	+
NC_000913.3	3498143	3498144	2	1	+
NC_000913.3	3498150	3498151	1	0	+
NC_000913.3	3498167	3498168	2	0.5	+
NC_000913.3	3498170	3498171	2	0.5	+
NC_000913.3	3498181	3498182	2	1	+
NC_000913.3	3498200	3498201	1	1	+
NC_000913.3	3498235	3498236	2	1	+
NC_000913.3	3498290	3498291	1	1	+
NC_000913.3	3498297	3498298	2	1	+
NC_000913.3	3498300	3498301	1	1	+
NC_000913.3	3498310	3498311	2	1	+
NC_000913.3	3498312	3498313	2	1	+
NC_000913.3	3498316	3498317	2	1	+
NC_000913.3	3498333	3498334	1	1	+
NC_000913.3	3498349	3498350	2	1	+
NC_000913.3	3498352	3498353	2	1	+
NC_000913.3	3498355	3498356	1	1	+
NC_000913.3	3498375	3498376	1	1	+
NC_000913.3	3498381	3498382	1	1	+
NC_000913.3	3498385	3498386	1	1	+
NC_000913.3	3498392	3498393	2	1	+
NC_000913.3	3498398	3498399	1	1	+
NC_000913.3	3498434	3498435	2	1	+
NC_000913.3	3498438	3498439	1	1	+
NC_000913.3	3498458	3498459	1	1	+
NC_000913.3	3498462	3498463	1	1	+
NC_000913.3	3498469	3498470	2	1	+
NC_000913.3	3498471	3498472	2	1	+
NC_000913.3	3498500	3498501	1	1	+
NC_000913.3	3498567	3498568	1	1	+
NC_000913.3	3498585	3498586	2	1	+
NC_000913.3	3498604	3498605	1	1	+
NC_000913.3	3498607	3498608	2	1	+
NC_000913.3	3498609	3498610	2	1	+
NC_000913.3	3498614	3498615	2	1	+
NC_000913.3	3498619	3498620	2	1	+
NC_000913.3	3498627	3498628	2	1	+
NC_000913.3	3498630	3498631	2	1	+
NC_000913.3	3498637	3498638	2	1	+
NC_000913.3	3498639	3498640	1	1	+
NC_000913.3	3498641	3498642	1	1	+
NC_000913.3	3498654	3498655	1	1	+
NC_000913.3	3498688	3498689	2	1	+
NC_000913.3	3498695	3498696	2	1	+
NC_000913.3	3498709	3498710	1	1	+
NC_000913.3	3498718	3498719	2	1	+
NC_000913.3	3498732	3498733	1	1	+
