#chromosome	strand	start	end	read_name	log_lik_ratio	log_lik_methylated	log_lik_unmethylated	num_calling_strands	num_motifs	sequence
NC_000913.3	+	3496715	3496716	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3496717	3496718	8386596c-ff56-4032-b54e-8f062c194b16	-1.55	-1.56	-0.0103	1	1	CG
NC_000913.3	+	3496728	3496729	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3496741	3496742	8386596c-ff56-4032-b54e-8f062c194b16	1.31	-0.0191	-1.33	1	1	CG
NC_000913.3	+	3496753	3496754	8386596c-ff56-4032-b54e-8f062c194b16	0.427	-0.136	-0.563	1	1	CG
NC_000913.3	+	3496761	3496762	8386596c-ff56-4032-b54e-8f062c194b16	-0.321	-0.489	-0.168	1	1	CG
NC_000913.3	+	3496775	3496776	8386596c-ff56-4032-b54e-8f062c194b16	0.353	-0.158	-0.511	1	1	CG
NC_000913.3	+	3496781	3496782	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3496789	3496790	8386596c-ff56-4032-b54e-8f062c194b16	1.55	-0.0103	-1.56	1	1	CG
NC_000913.3	+	3496792	3496793	8386596c-ff56-4032-b54e-8f062c194b16	0.461	-0.127	-0.589	1	1	CG
NC_000913.3	+	3496810	3496811	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3496822	3496823	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3496834	3496835	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3496841	3496842	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3496852	3496853	8386596c-ff56-4032-b54e-8f062c194b16	-2.11	-2.11	-0.0017	1	1	CG
NC_000913.3	+	3496855	3496856	8386596c-ff56-4032-b54e-8f062c194b16	1.62	-0.00857	-1.63	1	1	CG
NC_000913.3	+	3496868	3496869	8386596c-ff56-4032-b54e-8f062c194b16	0.41	-0.141	-0.551	1	1	CG
NC_000913.3	+	3496870	3496871	8386596c-ff56-4032-b54e-8f062c194b16	-0.617	-0.709	-0.0923	1	1	CG
NC_000913.3	+	3496885	3496886	8386596c-ff56-4032-b54e-8f062c194b16	0.575	-0.101	-0.676	1	1	CG
NC_000913.3	+	3496892	3496893	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3496932	3496933	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497030	3497031	8386596c-ff56-4032-b54e-8f062c194b16	-1.39	-1.41	-0.0155	1	1	CG
NC_000913.3	+	3497037	3497038	8386596c-ff56-4032-b54e-8f062c194b16	-1.24	-1.26	-0.0226	1	1	CG
NC_000913.3	+	3497042	3497043	8386596c-ff56-4032-b54e-8f062c194b16	-0.261	-0.449	-0.188	1	1	CG
NC_000913.3	+	3497053	3497054	8386596c-ff56-4032-b54e-8f062c194b16	0.21	-0.207	-0.417	1	1	CG
NC_000913.3	+	3497072	3497073	8386596c-ff56-4032-b54e-8f062c194b16	-1.35	-1.37	-0.0173	1	1	CG
NC_000913.3	+	3497076	3497077	8386596c-ff56-4032-b54e-8f062c194b16	0.65	-0.086	-0.736	1	1	CG
NC_000913.3	+	3497094	3497095	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497102	3497103	8386596c-ff56-4032-b54e-8f062c194b16	0.385	-0.148	-0.533	1	1	CG
NC_000913.3	+	3497106	3497107	8386596c-ff56-4032-b54e-8f062c194b16	1.15	-0.028	-1.18	1	1	CG
NC_000913.3	+	3497141	3497142	8386596c-ff56-4032-b54e-8f062c194b16	-1.03	-1.07	-0.0372	1	1	CG
NC_000913.3	+	3497145	3497146	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497157	3497158	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497166	3497167	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
NC_000913.3	+	3497170	3497171	8386596c-ff56-4032-b54e-8f062c194b16	-2.41	-2.41	0.0	1	1	CG
