Chr	Pos	Methyl_freq	Cov
NC_000913.3	3496729	1	1
NC_000913.3	3496742	1	1
NC_000913.3	3496754	1	1
NC_000913.3	3496762	1	1
NC_000913.3	3496776	1	1
NC_000913.3	3496782	1	1
NC_000913.3	3496790	1	1
NC_000913.3	3496793	1	1
NC_000913.3	3496811	1	1
NC_000913.3	3496823	0	1
NC_000913.3	3496835	1	1
NC_000913.3	3496840	1	1
NC_000913.3	3496842	1	1
NC_000913.3	3496853	1	1
NC_000913.3	3496856	1	1
NC_000913.3	3496869	1	1
NC_000913.3	3496871	1	1
NC_000913.3	3496886	1	1
NC_000913.3	3496893	1	1
NC_000913.3	3496933	1	1
NC_000913.3	3497031	1	1
NC_000913.3	3497038	1	1
NC_000913.3	3497043	1	1
NC_000913.3	3497045	1	1
NC_000913.3	3497054	1	1
NC_000913.3	3497061	1	1
NC_000913.3	3497073	1	1
NC_000913.3	3497077	1	1
NC_000913.3	3497095	1	1
NC_000913.3	3497103	1	1
NC_000913.3	3497107	1	1
NC_000913.3	3497109	1	1
NC_000913.3	3497142	1	1
NC_000913.3	3497146	1	1
NC_000913.3	3497158	1	1
NC_000913.3	3497167	1	1
NC_000913.3	3497171	1	1
NC_000913.3	3497188	1	1
NC_000913.3	3497190	1	1
NC_000913.3	3497203	1	1
NC_000913.3	3497211	1	1
NC_000913.3	3497224	1	2
NC_000913.3	3497227	1	2
NC_000913.3	3497245	1	2
NC_000913.3	3497280	1	2
NC_000913.3	3497296	0	2
NC_000913.3	3497319	1	2
NC_000913.3	3497344	1	2
NC_000913.3	3497350	1	2
NC_000913.3	3497356	1	2
NC_000913.3	3497380	1	2
NC_000913.3	3497383	1	2
NC_000913.3	3497397	1	2
NC_000913.3	3497413	1	2
NC_000913.3	3497422	1	2
NC_000913.3	3497425	1	2
NC_000913.3	3497427	1	2
NC_000913.3	3497448	1	2
NC_000913.3	3497514	1	2
NC_000913.3	3497519	1	2
NC_000913.3	3497532	1	2
NC_000913.3	3497535	1	2
NC_000913.3	3497545	1	2
NC_000913.3	3497575	1	2
NC_000913.3	3497577	1	2
NC_000913.3	3497581	1	2
NC_000913.3	3497587	1	2
NC_000913.3	3497599	1	2
NC_000913.3	3497610	1	2
NC_000913.3	3497617	1	2
NC_000913.3	3497619	1	2
NC_000913.3	3497632	0.5	2
NC_000913.3	3497644	0.5	2
NC_000913.3	3497655	1	2
NC_000913.3	3497661	1	2
NC_000913.3	3497691	1	2
NC_000913.3	3497716	0.5	2
NC_000913.3	3497748	0.5	2
NC_000913.3	3497751	1	2
NC_000913.3	3497757	1	2
NC_000913.3	3497762	1	2
NC_000913.3	3497766	1	2
NC_000913.3	3497772	1	2
NC_000913.3	3497796	1	2
NC_000913.3	3497803	1	2
NC_000913.3	3497827	1	2
NC_000913.3	3497858	1	2
NC_000913.3	3497860	1	2
NC_000913.3	3497864	1	2
NC_000913.3	3497866	1	2
NC_000913.3	3497881	0.5	2
NC_000913.3	3497884	1	2
NC_000913.3	3497896	1	2
NC_000913.3	3497898	1	2
NC_000913.3	3497903	1	2
NC_000913.3	3497926	1	2
NC_000913.3	3497932	1	2
NC_000913.3	3497936	1	2
NC_000913.3	3497943	1	2
NC_000913.3	3497958	0.5	2
NC_000913.3	3497977	1	2
NC_000913.3	3498007	1	2
NC_000913.3	3498010	1	2
NC_000913.3	3498037	1	2
NC_000913.3	3498054	1	2
NC_000913.3	3498063	1	2
NC_000913.3	3498066	1	2
NC_000913.3	3498076	1	2
NC_000913.3	3498078	1	2
NC_000913.3	3498089	0.5	2
NC_000913.3	3498091	0.5	2
NC_000913.3	3498097	0.5	2
NC_000913.3	3498103	1	2
NC_000913.3	3498113	1	2
NC_000913.3	3498116	1	2
NC_000913.3	3498130	1	2
NC_000913.3	3498136	1	2
NC_000913.3	3498141	1	2
NC_000913.3	3498144	1	2
NC_000913.3	3498151	1	2
NC_000913.3	3498168	1	2
NC_000913.3	3498171	1	2
NC_000913.3	3498182	1	2
NC_000913.3	3498189	1	2
NC_000913.3	3498201	1	2
NC_000913.3	3498214	0.5	2
NC_000913.3	3498225	0	2
NC_000913.3	3498236	1	2
NC_000913.3	3498245	0	2
NC_000913.3	3498247	0	2
NC_000913.3	3498270	1	2
NC_000913.3	3498291	0.5	2
NC_000913.3	3498298	0.5	2
NC_000913.3	3498301	0.5	2
NC_000913.3	3498311	1	2
NC_000913.3	3498313	1	2
NC_000913.3	3498317	1	2
NC_000913.3	3498334	1	2
NC_000913.3	3498339	1	2
NC_000913.3	3498350	1	2
NC_000913.3	3498353	1	2
NC_000913.3	3498356	1	2
NC_000913.3	3498376	1	2
NC_000913.3	3498382	1	2
NC_000913.3	3498386	1	2
NC_000913.3	3498393	1	2
NC_000913.3	3498399	1	2
NC_000913.3	3498412	1	2
NC_000913.3	3498435	1	2
NC_000913.3	3498439	1	2
NC_000913.3	3498454	1	2
NC_000913.3	3498459	1	2
NC_000913.3	3498463	1	2
NC_000913.3	3498470	1	2
NC_000913.3	3498472	1	2
NC_000913.3	3498501	0.5	2
NC_000913.3	3498505	1	2
NC_000913.3	3498511	1	2
NC_000913.3	3498568	1	2
NC_000913.3	3498572	0.5	2
NC_000913.3	3498586	1	2
NC_000913.3	3498605	1	2
NC_000913.3	3498608	1	2
NC_000913.3	3498610	1	2
NC_000913.3	3498615	1	2
NC_000913.3	3498620	1	2
NC_000913.3	3498628	1	2
NC_000913.3	3498631	1	2
NC_000913.3	3498638	1	2
NC_000913.3	3498640	1	2
NC_000913.3	3498642	1	2
NC_000913.3	3498655	0.5	2
NC_000913.3	3498689	1	2
NC_000913.3	3498696	1	2
NC_000913.3	3498710	1	2
NC_000913.3	3498712	1	2
NC_000913.3	3498719	1	2
NC_000913.3	3498733	1	2
NC_000913.3	3498738	1	2
NC_000913.3	3498752	0	2
NC_000913.3	3498760	0.5	2
NC_000913.3	3498784	1	2
NC_000913.3	3498786	1	2
NC_000913.3	3498795	1	2
NC_000913.3	3498801	1	2
NC_000913.3	3498810	0.5	2
NC_000913.3	3498820	1	2
NC_000913.3	3498846	1	2
NC_000913.3	3498861	1	2
NC_000913.3	3498866	1	2
NC_000913.3	3498868	1	2
NC_000913.3	3498883	1	2
NC_000913.3	3498887	1	2
NC_000913.3	3498898	0.5	2
NC_000913.3	3498913	0.5	2
NC_000913.3	3498919	1	2
NC_000913.3	3498942	1	2
NC_000913.3	3498957	1	2
NC_000913.3	3498988	1	2
NC_000913.3	3498990	1	2
NC_000913.3	3499018	1	2
NC_000913.3	3499030	1	2
NC_000913.3	3499038	1	2
NC_000913.3	3499051	1	2
NC_000913.3	3499057	1	2
NC_000913.3	3499062	1	2
NC_000913.3	3499071	1	2
NC_000913.3	3499076	0.5	2
NC_000913.3	3499078	0	2
NC_000913.3	3499087	1	2
NC_000913.3	3499092	1	2
NC_000913.3	3499116	1	2
NC_000913.3	3499137	1	2
NC_000913.3	3499154	1	2
NC_000913.3	3499169	0.5	2
NC_000913.3	3499171	0.5	2
NC_000913.3	3499209	0.5	2
NC_000913.3	3499310	1	2
NC_000913.3	3499318	0.5	2
NC_000913.3	3499340	1	2
NC_000913.3	3499350	1	2
NC_000913.3	3499372	1	2
NC_000913.3	3499381	1	2
NC_000913.3	3499494	1	4
NC_000913.3	3499526	0.75	4
NC_000913.3	3499546	1	4
NC_000913.3	3499563	0.75	4
NC_000913.3	3499591	0.75	4
NC_000913.3	3499597	0.75	4
NC_000913.3	3499631	0.75	4
NC_000913.3	3499641	1	4
NC_000913.3	3499654	1	4
NC_000913.3	3499657	1	4
NC_000913.3	3499673	1	4
NC_000913.3	3499679	1	4
NC_000913.3	3499708	0.75	4
NC_000913.3	3499712	0.75	4
NC_000913.3	3499767	1	5
NC_000913.3	3499769	1	5
NC_000913.3	3499779	1	5
NC_000913.3	3499883	0.8335	5
NC_000913.3	3499906	1	5
NC_000913.3	3499931	0.8335	5
NC_000913.3	3499939	0.5	5
NC_000913.3	3499951	1	5
NC_000913.3	3499963	1	5
NC_000913.3	3499966	1	5
NC_000913.3	3499969	1	5
NC_000913.3	3499978	1	6
NC_000913.3	3499981	1	6
NC_000913.3	3499987	1	6
NC_000913.3	3500025	0.8335	6
NC_000913.3	3500031	0.8335	6
NC_000913.3	3500034	0.8335	6
NC_000913.3	3500043	1	6
NC_000913.3	3500050	1	6
NC_000913.3	3500052	1	6
NC_000913.3	3500065	1	6
NC_000913.3	3500082	0.5835	7
NC_000913.3	3500092	1	7
NC_000913.3	3500100	1	7
NC_000913.3	3500113	0.75	7
NC_000913.3	3500121	1	7
NC_000913.3	3500131	0.8335	7
NC_000913.3	3500158	1	7
NC_000913.3	3500165	1	7
NC_000913.3	3500169	1	7
NC_000913.3	3500185	0.6665	7
NC_000913.3	3500209	0.7085	7
NC_000913.3	3500214	1	7
NC_000913.3	3500217	1	7
NC_000913.3	3500226	1	8
NC_000913.3	3500235	1	8
NC_000913.3	3500241	1	8
NC_000913.3	3500268	0.875	8
NC_000913.3	3500275	1	8
NC_000913.3	3500280	1	8
NC_000913.3	3500287	0.875	8
NC_000913.3	3500299	1	8
NC_000913.3	3500302	1	8
NC_000913.3	3500305	1	8
NC_000913.3	3500317	0.875	8
NC_000913.3	3500339	0.75	8
NC_000913.3	3500344	1	8
NC_000913.3	3500353	1	8
NC_000913.3	3500356	1	8
NC_000913.3	3500361	1	8
NC_000913.3	3500370	0.75	8
NC_000913.3	3500383	1	8
NC_000913.3	3500397	0.75	8
NC_000913.3	3500407	1	9
NC_000913.3	3500439	1	9
NC_000913.3	3500452	1	9
NC_000913.3	3500469	1	9
NC_000913.3	3500476	1	9
NC_000913.3	3500481	0.9	9
NC_000913.3	3500496	1	9
NC_000913.3	3500505	0.75	9
NC_000913.3	3500529	1	9
NC_000913.3	3500536	1	9
NC_000913.3	3500563	0.8	10
NC_000913.3	3500566	0.9	10
NC_000913.3	3500581	0.3	10
NC_000913.3	3500597	1	10
NC_000913.3	3500601	1	10
NC_000913.3	3500649	1	10
NC_000913.3	3500662	0.7	10
NC_000913.3	3500677	1	10
NC_000913.3	3500686	1	10
NC_000913.3	3500700	0.9	10
NC_000913.3	3500703	0.9	10
NC_000913.3	3500710	1	10
NC_000913.3	3500713	1	10
NC_000913.3	3500731	1	10
NC_000913.3	3500737	1	10
NC_000913.3	3500746	0.7	10
NC_000913.3	3500769	1	10
NC_000913.3	3500772	1	10
NC_000913.3	3500779	1	10
NC_000913.3	3500793	1	10
NC_000913.3	3500806	1	10
NC_000913.3	3500820	1	10
NC_000913.3	3500822	1	10
NC_000913.3	3500833	1	10
NC_000913.3	3500835	0.9	10
NC_000913.3	3500841	1	10
NC_000913.3	3500869	1	10
NC_000913.3	3500883	0.8	10
NC_000913.3	3500895	0.9	10
NC_000913.3	3500898	0.9	10
NC_000913.3	3500925	1	10
NC_000913.3	3500947	0.9	10
NC_000913.3	3500953	0.9	10
NC_000913.3	3501016	0.9	10
NC_000913.3	3501035	0.9	10
NC_000913.3	3501041	1	10
NC_000913.3	3501043	1	10
NC_000913.3	3501046	1	10
NC_000913.3	3501057	0.8	10
NC_000913.3	3501065	0.9	10
NC_000913.3	3501072	0.9	10
NC_000913.3	3501079	0.8	10
NC_000913.3	3501097	1	10
NC_000913.3	3501105	1	10
NC_000913.3	3501124	0.9165	11
NC_000913.3	3501147	0.9165	11
NC_000913.3	3501154	0.75	11
NC_000913.3	3501166	1	11
NC_000913.3	3501169	1	11
NC_000913.3	3501175	1	11
NC_000913.3	3501202	1	11
NC_000913.3	3501213	1	11
NC_000913.3	3501218	1	11
NC_000913.3	3501224	0.9165	11
NC_000913.3	3501235	0.9165	11
NC_000913.3	3501243	0.9	11
NC_000913.3	3501291	0.6	12
NC_000913.3	3501309	0.8	12
NC_000913.3	3501351	1	12
NC_000913.3	3501356	1	12
NC_000913.3	3501366	0.7285	12
NC_000913.3	3501372	0.9	12
NC_000913.3	3501391	1	12
NC_000913.3	3501393	1	12
NC_000913.3	3501403	1	12
NC_000913.3	3501414	0.9285	12
NC_000913.3	3501423	0.9	12
NC_000913.3	3501428	1	12
NC_000913.3	3501438	1	12
NC_000913.3	3501440	1	12
NC_000913.3	3501443	0.9285	12
NC_000913.3	3501449	0.9285	12
NC_000913.3	3501452	0.9285	12
NC_000913.3	3501464	1	12
NC_000913.3	3501469	1	12
NC_000913.3	3501477	0.857	12
NC_000913.3	3501492	1	12
NC_000913.3	3501501	0.7855	12
NC_000913.3	3501516	1	12
NC_000913.3	3501527	1	12
NC_000913.3	3501532	1	12
NC_000913.3	3501537	1	13
NC_000913.3	3501540	1	13
NC_000913.3	3501544	0.9165	14
NC_000913.3	3501549	0.9165	14
NC_000913.3	3501561	0.875	14
NC_000913.3	3501573	0.8335	14
NC_000913.3	3501582	0.771	14
NC_000913.3	3501599	0.9165	14
NC_000913.3	3501613	0.771	14
NC_000913.3	3501621	0.875	14
NC_000913.3	3501624	0.729	14
NC_000913.3	3501635	0.854	14
NC_000913.3	3501638	0.866	15
NC_000913.3	3501649	0.7945	15
NC_000913.3	3501651	0.7945	15
NC_000913.3	3501653	0.7945	15
NC_000913.3	3501662	0.616	15
NC_000913.3	3501671	0.9285	16
