Pos	Score	Read_ID	Strand
3496729	-0.8683738426549736	8386596c-ff56-4032-b54e-8f062c194b16	+
3496742	-5.5114010369469355	8386596c-ff56-4032-b54e-8f062c194b16	+
3496754	-3.5313167055455152	8386596c-ff56-4032-b54e-8f062c194b16	+
3496762	-3.183164532573584	8386596c-ff56-4032-b54e-8f062c194b16	+
3496776	-1.8793396137828842	8386596c-ff56-4032-b54e-8f062c194b16	+
3496782	-4.403358117297941	8386596c-ff56-4032-b54e-8f062c194b16	+
3496790	-2.867940023874674	8386596c-ff56-4032-b54e-8f062c194b16	+
3496793	-1.8914671186672927	8386596c-ff56-4032-b54e-8f062c194b16	+
3496811	-0.07937139046935943	8386596c-ff56-4032-b54e-8f062c194b16	+
3496823	0.6404945418713653	8386596c-ff56-4032-b54e-8f062c194b16	+
3496835	-2.652211910652922	8386596c-ff56-4032-b54e-8f062c194b16	+
3496840	-2.759116104592943	8386596c-ff56-4032-b54e-8f062c194b16	+
3496842	-3.2381596969271262	8386596c-ff56-4032-b54e-8f062c194b16	+
3496853	-0.7924100935379323	8386596c-ff56-4032-b54e-8f062c194b16	+
3496856	2.572415927471842	8386596c-ff56-4032-b54e-8f062c194b16	+
3496869	-6.550872078392848	8386596c-ff56-4032-b54e-8f062c194b16	+
3496871	-3.5289944086841123	8386596c-ff56-4032-b54e-8f062c194b16	+
3496886	0.6647134625302052	8386596c-ff56-4032-b54e-8f062c194b16	+
3496893	-3.50202102726175	8386596c-ff56-4032-b54e-8f062c194b16	+
3496933	-4.135298357555523	8386596c-ff56-4032-b54e-8f062c194b16	+
3497031	-5.651545990149678	8386596c-ff56-4032-b54e-8f062c194b16	+
3497038	-1.1468766602149962	8386596c-ff56-4032-b54e-8f062c194b16	+
3497043	-5.089239425711706	8386596c-ff56-4032-b54e-8f062c194b16	+
3497045	-2.1808390520224235	8386596c-ff56-4032-b54e-8f062c194b16	+
3497054	-0.23826390636702965	8386596c-ff56-4032-b54e-8f062c194b16	+
3497061	-0.10317975480969838	8386596c-ff56-4032-b54e-8f062c194b16	+
3497073	-0.047566602742050934	8386596c-ff56-4032-b54e-8f062c194b16	+
3497077	-4.655802575559198	8386596c-ff56-4032-b54e-8f062c194b16	+
3497095	1.107038050250963	8386596c-ff56-4032-b54e-8f062c194b16	+
3497103	-6.297939269886298	8386596c-ff56-4032-b54e-8f062c194b16	+
3497107	-0.16325455387339294	8386596c-ff56-4032-b54e-8f062c194b16	+
3497109	1.6201466438634515	8386596c-ff56-4032-b54e-8f062c194b16	+
3497142	-1.390144712955565	8386596c-ff56-4032-b54e-8f062c194b16	+
3497146	-4.911565855161708	8386596c-ff56-4032-b54e-8f062c194b16	+
3497158	-3.1923251714924694	8386596c-ff56-4032-b54e-8f062c194b16	+
3497167	-4.960648278245043	8386596c-ff56-4032-b54e-8f062c194b16	+
3497171	-7.999644984923372	8386596c-ff56-4032-b54e-8f062c194b16	+
3497188	-4.165536777449153	8386596c-ff56-4032-b54e-8f062c194b16	+
3497190	-0.9572289635144338	8386596c-ff56-4032-b54e-8f062c194b16	+
3497203	-1.910820668925341	8386596c-ff56-4032-b54e-8f062c194b16	+
3497211	-1.332843174165285	8386596c-ff56-4032-b54e-8f062c194b16	+
3497224	-5.476882095829116	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497224	-6.089750288118684	8386596c-ff56-4032-b54e-8f062c194b16	+
3497227	-2.6814908021323722	8386596c-ff56-4032-b54e-8f062c194b16	+
3497227	-2.0654015790021925	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497245	-1.0062394871110354	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497245	-2.3856920098628027	8386596c-ff56-4032-b54e-8f062c194b16	+
3497280	0.39585783042686135	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497280	-1.7893415380863855	8386596c-ff56-4032-b54e-8f062c194b16	+
3497296	-1.390820692876779	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497296	-1.4321003555419713	8386596c-ff56-4032-b54e-8f062c194b16	+
3497319	-2.515325177931469	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497319	2.0524858081933273	8386596c-ff56-4032-b54e-8f062c194b16	+
3497344	-4.673242779135805	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497344	-5.345201388957325	8386596c-ff56-4032-b54e-8f062c194b16	+
3497350	-1.24320686018467	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497350	-0.8328749404844287	8386596c-ff56-4032-b54e-8f062c194b16	+
3497356	-1.3591219729241155	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497356	-2.305195472486085	8386596c-ff56-4032-b54e-8f062c194b16	+
3497380	-7.706773608169894	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497380	-8.213456321972613	8386596c-ff56-4032-b54e-8f062c194b16	+
3497383	-2.6683102073217166	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497383	-2.293338503288037	8386596c-ff56-4032-b54e-8f062c194b16	+
3497397	-3.1419988309863167	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497397	-1.7067292439178083	8386596c-ff56-4032-b54e-8f062c194b16	+
3497413	-4.151954809100919	8386596c-ff56-4032-b54e-8f062c194b16	+
3497413	-5.656068848677015	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497422	2.5377041697174265	8386596c-ff56-4032-b54e-8f062c194b16	+
3497422	-2.5358414757276715	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497425	-5.634564631710755	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497425	1.0501790599123697	8386596c-ff56-4032-b54e-8f062c194b16	+
3497427	-8.401928793800522	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497427	2.3465225365066256	8386596c-ff56-4032-b54e-8f062c194b16	+
3497448	-3.52506992435406	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497448	-1.947807436621627	8386596c-ff56-4032-b54e-8f062c194b16	+
3497514	-3.316144046230503	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497514	-3.6550510146916215	8386596c-ff56-4032-b54e-8f062c194b16	+
3497519	-0.24277420509978487	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497519	-2.411846977315357	8386596c-ff56-4032-b54e-8f062c194b16	+
3497532	-7.733234155657405	8386596c-ff56-4032-b54e-8f062c194b16	+
3497532	-2.129511030831286	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497535	-1.5198390905803651	8386596c-ff56-4032-b54e-8f062c194b16	+
3497535	2.6152165071955715	87e3a0fc-c4e1-4eda-843b-31d4d9617fab	+
3497545	-6.329378371600035	8386596c-ff56-4032-b54e-8f062c194b16	+
