Chr	Pos_start	Pos_end	Coverage	Methylation
NC_000913.3	3499493	3499494	1	1
NC_000913.3	3499525	3499526	1	1
NC_000913.3	3499545	3499546	1	1
NC_000913.3	3499562	3499563	2	1
NC_000913.3	3499590	3499591	1	1
NC_000913.3	3499596	3499597	1	1
NC_000913.3	3499630	3499631	2	1
NC_000913.3	3499640	3499641	2	1
NC_000913.3	3499653	3499654	1	1
NC_000913.3	3499656	3499657	1	1
NC_000913.3	3499672	3499673	2	1
NC_000913.3	3499678	3499679	2	1
NC_000913.3	3499766	3499767	1	1
NC_000913.3	3499768	3499769	1	1
NC_000913.3	3499778	3499779	1	1
NC_000913.3	3499882	3499883	1	1
NC_000913.3	3499950	3499951	1	1
NC_000913.3	3499962	3499963	1	1
NC_000913.3	3499965	3499966	1	1
NC_000913.3	3499968	3499969	1	1
NC_000913.3	3499977	3499978	1	1
NC_000913.3	3499980	3499981	1	1
NC_000913.3	3499986	3499987	1	1
NC_000913.3	3500024	3500025	3	0.75
NC_000913.3	3500030	3500031	3	0.75
NC_000913.3	3500033	3500034	3	0.75
NC_000913.3	3500042	3500043	3	0.75
NC_000913.3	3500049	3500050	3	0.75
NC_000913.3	3500051	3500052	3	0.75
NC_000913.3	3500064	3500065	2	1
NC_000913.3	3500081	3500082	4	0.333333333333333
NC_000913.3	3500091	3500092	4	0.333333333333333
NC_000913.3	3500099	3500100	4	0.333333333333333
NC_000913.3	3500112	3500113	2	1
NC_000913.3	3500120	3500121	2	1
NC_000913.3	3500130	3500131	2	1
NC_000913.3	3500157	3500158	3	1
NC_000913.3	3500164	3500165	3	1
NC_000913.3	3500168	3500169	3	1
NC_000913.3	3500184	3500185	3	1
NC_000913.3	3500208	3500209	4	0.5
NC_000913.3	3500213	3500214	4	0.5
NC_000913.3	3500216	3500217	4	0.5
NC_000913.3	3500225	3500226	4	0.5
NC_000913.3	3500234	3500235	4	0.5
NC_000913.3	3500240	3500241	4	0.5
NC_000913.3	3500267	3500268	3	1
NC_000913.3	3500274	3500275	3	1
NC_000913.3	3500279	3500280	3	1
NC_000913.3	3500286	3500287	3	1
NC_000913.3	3500298	3500299	3	1
NC_000913.3	3500301	3500302	3	1
NC_000913.3	3500304	3500305	3	1
NC_000913.3	3500316	3500317	3	1
NC_000913.3	3500338	3500339	4	0.5
NC_000913.3	3500343	3500344	4	0.5
NC_000913.3	3500352	3500353	4	0.5
NC_000913.3	3500355	3500356	4	0.5
NC_000913.3	3500360	3500361	4	0.5
NC_000913.3	3500369	3500370	4	0.5
NC_000913.3	3500382	3500383	2	1
NC_000913.3	3500396	3500397	4	1
NC_000913.3	3500406	3500407	4	1
NC_000913.3	3500438	3500439	3	0.666666666666667
NC_000913.3	3500451	3500452	1	1
NC_000913.3	3500468	3500469	3	1
NC_000913.3	3500475	3500476	3	1
NC_000913.3	3500480	3500481	3	1
NC_000913.3	3500495	3500496	4	1
NC_000913.3	3500504	3500505	4	1
NC_000913.3	3500528	3500529	2	1
NC_000913.3	3500535	3500536	2	1
NC_000913.3	3500562	3500563	3	1
NC_000913.3	3500565	3500566	3	1
NC_000913.3	3500596	3500597	5	1
NC_000913.3	3500600	3500601	5	1
NC_000913.3	3500648	3500649	2	1
NC_000913.3	3500661	3500662	4	0.75
NC_000913.3	3500676	3500677	6	1
NC_000913.3	3500685	3500686	6	1
NC_000913.3	3500699	3500700	6	0.75
NC_000913.3	3500702	3500703	6	0.75
NC_000913.3	3500709	3500710	6	0.75
NC_000913.3	3500712	3500713	6	0.75
NC_000913.3	3500730	3500731	3	1
NC_000913.3	3500736	3500737	3	1
NC_000913.3	3500745	3500746	3	1
NC_000913.3	3500768	3500769	6	0.833333333333333
NC_000913.3	3500771	3500772	6	0.833333333333333
NC_000913.3	3500778	3500779	6	0.833333333333333
NC_000913.3	3500792	3500793	2	0.5
NC_000913.3	3500805	3500806	3	0.5
NC_000913.3	3500819	3500820	2	1
NC_000913.3	3500821	3500822	2	1
NC_000913.3	3500832	3500833	5	0.5
NC_000913.3	3500834	3500835	5	0.5
NC_000913.3	3500840	3500841	5	0.5
NC_000913.3	3500868	3500869	2	1
NC_000913.3	3500882	3500883	3	1
NC_000913.3	3500894	3500895	3	1
NC_000913.3	3500897	3500898	3	1
NC_000913.3	3500924	3500925	3	1
NC_000913.3	3500946	3500947	3	1
NC_000913.3	3500952	3500953	3	1
NC_000913.3	3501034	3501035	3	1
NC_000913.3	3501040	3501041	3	1
NC_000913.3	3501042	3501043	3	1
NC_000913.3	3501045	3501046	3	1
NC_000913.3	3501056	3501057	5	0.875
NC_000913.3	3501064	3501065	5	0.875
NC_000913.3	3501071	3501072	5	0.875
NC_000913.3	3501078	3501079	5	0.875
NC_000913.3	3501096	3501097	3	0.666666666666667
NC_000913.3	3501104	3501105	3	0.666666666666667
NC_000913.3	3501123	3501124	2	1
NC_000913.3	3501146	3501147	4	1
NC_000913.3	3501153	3501154	4	1
NC_000913.3	3501165	3501166	4	1
NC_000913.3	3501168	3501169	4	1
NC_000913.3	3501174	3501175	4	1
NC_000913.3	3501201	3501202	4	0.333333333333333
NC_000913.3	3501212	3501213	4	0.75
NC_000913.3	3501217	3501218	4	0.75
NC_000913.3	3501223	3501224	4	0.75
NC_000913.3	3501234	3501235	5	0.333333333333333
NC_000913.3	3501242	3501243	5	0.333333333333333
NC_000913.3	3501308	3501309	4	1
NC_000913.3	3501350	3501351	5	0.5
NC_000913.3	3501355	3501356	5	0.5
NC_000913.3	3501365	3501366	5	0.5
NC_000913.3	3501371	3501372	5	0.5
NC_000913.3	3501390	3501391	6	1
NC_000913.3	3501392	3501393	6	1
NC_000913.3	3501402	3501403	6	1
NC_000913.3	3501413	3501414	7	0.833333333333333
NC_000913.3	3501422	3501423	7	0.833333333333333
NC_000913.3	3501427	3501428	7	0.833333333333333
NC_000913.3	3501437	3501438	7	0.833333333333333
NC_000913.3	3501439	3501440	7	0.833333333333333
NC_000913.3	3501442	3501443	7	0.833333333333333
NC_000913.3	3501448	3501449	7	0.833333333333333
NC_000913.3	3501451	3501452	7	0.833333333333333
NC_000913.3	3501463	3501464	6	0.875
NC_000913.3	3501468	3501469	6	0.875
NC_000913.3	3501476	3501477	6	0.875
NC_000913.3	3501491	3501492	6	0.833333333333333
NC_000913.3	3501500	3501501	6	0.833333333333333
NC_000913.3	3501515	3501516	4	1
NC_000913.3	3501526	3501527	6	0.75
NC_000913.3	3501531	3501532	6	0.75
NC_000913.3	3501536	3501537	6	0.75
NC_000913.3	3501539	3501540	6	0.75
NC_000913.3	3501543	3501544	6	0.75
NC_000913.3	3501548	3501549	6	0.75
NC_000913.3	3501560	3501561	4	1
NC_000913.3	3501572	3501573	3	1
NC_000913.3	3501581	3501582	3	1
NC_000913.3	3501598	3501599	4	1
NC_000913.3	3501612	3501613	3	0.5
NC_000913.3	3501620	3501621	3	0.5
NC_000913.3	3501623	3501624	3	0.5
NC_000913.3	3501634	3501635	5	0.75
NC_000913.3	3501637	3501638	5	0.75
NC_000913.3	3501648	3501649	10	0.761904761904762
NC_000913.3	3501650	3501651	10	0.761904761904762
NC_000913.3	3501652	3501653	10	0.761904761904762
NC_000913.3	3501661	3501662	10	0.761904761904762
NC_000913.3	3501670	3501671	10	0.761904761904762
NC_000913.3	3501673	3501674	10	0.761904761904762
NC_000913.3	3501676	3501677	10	0.761904761904762
NC_000913.3	3501701	3501702	5	1
NC_000913.3	3501740	3501741	4	1
NC_000913.3	3501762	3501763	12	0.728571428571429
NC_000913.3	3501767	3501768	12	0.728571428571429
NC_000913.3	3501769	3501770	12	0.728571428571429
NC_000913.3	3501772	3501773	12	0.728571428571429
NC_000913.3	3501776	3501777	12	0.728571428571429
NC_000913.3	3501778	3501779	12	0.728571428571429
NC_000913.3	3501785	3501786	12	0.728571428571429
NC_000913.3	3501800	3501801	7	1
NC_000913.3	3501817	3501818	10	1
NC_000913.3	3501823	3501824	10	1
NC_000913.3	3501827	3501828	10	1
NC_000913.3	3501840	3501841	5	0.25
NC_000913.3	3501861	3501862	7	0.875
NC_000913.3	3501892	3501893	8	1
NC_000913.3	3501905	3501906	10	0.833333333333333
NC_000913.3	3501913	3501914	10	0.833333333333333
NC_000913.3	3501919	3501920	10	0.833333333333333
NC_000913.3	3501924	3501925	10	0.833333333333333
NC_000913.3	3501928	3501929	10	0.833333333333333
NC_000913.3	3501955	3501956	6	1
NC_000913.3	3501976	3501977	8	1
NC_000913.3	3501980	3501981	8	1
NC_000913.3	3501986	3501987	8	1
NC_000913.3	3501998	3501999	10	0.791666666666667
NC_000913.3	3502008	3502009	10	0.791666666666667
NC_000913.3	3502018	3502019	10	0.791666666666667
NC_000913.3	3502031	3502032	11	1
NC_000913.3	3502036	3502037	11	1
NC_000913.3	3502040	3502041	11	1
NC_000913.3	3502045	3502046	11	1
NC_000913.3	3502061	3502062	5	1
NC_000913.3	3502077	3502078	6	1
NC_000913.3	3502088	3502089	9	0.9
NC_000913.3	3502092	3502093	9	0.9
NC_000913.3	3502094	3502095	9	0.9
NC_000913.3	3502116	3502117	6	0.833333333333333
NC_000913.3	3502127	3502128	9	1
NC_000913.3	3502133	3502134	9	1
NC_000913.3	3502139	3502140	9	1
NC_000913.3	3502145	3502146	9	1
NC_000913.3	3502148	3502149	9	1
NC_000913.3	3502156	3502157	9	1
NC_000913.3	3502171	3502172	3	0.666666666666667
NC_000913.3	3502183	3502184	5	1
NC_000913.3	3502196	3502197	7	0.875
NC_000913.3	3502249	3502250	14	0.9375
NC_000913.3	3502257	3502258	14	0.9375
NC_000913.3	3502260	3502261	14	0.9375
NC_000913.3	3502268	3502269	14	0.9375
NC_000913.3	3502299	3502300	12	0.9375
NC_000913.3	3502304	3502305	12	0.9375
NC_000913.3	3502310	3502311	12	0.9375
NC_000913.3	3502315	3502316	12	0.9375
NC_000913.3	3502323	3502324	12	0.9375
NC_000913.3	3502337	3502338	4	1
NC_000913.3	3502362	3502363	9	0.833333333333333
NC_000913.3	3502372	3502373	9	0.833333333333333
NC_000913.3	3502389	3502390	7	0.4
NC_000913.3	3502396	3502397	7	0.4
NC_000913.3	3502407	3502408	5	0.666666666666667
NC_000913.3	3502419	3502420	11	0.916666666666667
NC_000913.3	3502422	3502423	11	0.916666666666667
NC_000913.3	3502428	3502429	11	0.916666666666667
