Chr	Pos_start	Pos_end	Coverage	Methylation	Strand
NC_000913.3	3496753	3496754	0	0	+
NC_000913.3	3496761	3496762	1	100	+
NC_000913.3	3496775	3496776	1	100	+
NC_000913.3	3496781	3496782	1	0	+
NC_000913.3	3496789	3496790	1	100	+
NC_000913.3	3496792	3496793	1	0	+
NC_000913.3	3496810	3496811	1	100	+
NC_000913.3	3496822	3496823	1	100	+
NC_000913.3	3496834	3496835	1	100	+
NC_000913.3	3496839	3496840	1	0	+
NC_000913.3	3496841	3496842	0	0	+
NC_000913.3	3496852	3496853	1	0	+
NC_000913.3	3496855	3496856	1	100	+
NC_000913.3	3496868	3496869	1	100	+
NC_000913.3	3496870	3496871	0	0	+
NC_000913.3	3496885	3496886	1	100	+
NC_000913.3	3496892	3496893	1	100	+
NC_000913.3	3496932	3496933	1	100	+
NC_000913.3	3497030	3497031	1	100	+
NC_000913.3	3497037	3497038	1	100	+
NC_000913.3	3497042	3497043	0	0	+
NC_000913.3	3497044	3497045	1	100	+
NC_000913.3	3497053	3497054	1	100	+
NC_000913.3	3497060	3497061	1	0	+
NC_000913.3	3497072	3497073	1	100	+
NC_000913.3	3497076	3497077	1	100	+
NC_000913.3	3497094	3497095	0	0	+
NC_000913.3	3497102	3497103	0	0	+
NC_000913.3	3497106	3497107	1	100	+
NC_000913.3	3497108	3497109	1	100	+
NC_000913.3	3497141	3497142	1	100	+
NC_000913.3	3497145	3497146	1	100	+
NC_000913.3	3497157	3497158	1	100	+
NC_000913.3	3497166	3497167	1	100	+
NC_000913.3	3497170	3497171	1	100	+
NC_000913.3	3497187	3497188	1	100	+
NC_000913.3	3497189	3497190	1	0	+
NC_000913.3	3497202	3497203	2	100	+
NC_000913.3	3497210	3497211	1	100	+
NC_000913.3	3497223	3497224	2	0	+
NC_000913.3	3497226	3497227	2	100	+
NC_000913.3	3497244	3497245	1	100	+
NC_000913.3	3497279	3497280	2	100	+
NC_000913.3	3497295	3497296	2	100	+
NC_000913.3	3497318	3497319	2	50	+
NC_000913.3	3497343	3497344	2	100	+
NC_000913.3	3497349	3497350	2	100	+
NC_000913.3	3497355	3497356	2	100	+
NC_000913.3	3497379	3497380	2	100	+
NC_000913.3	3497382	3497383	2	100	+
NC_000913.3	3497396	3497397	2	100	+
NC_000913.3	3497412	3497413	2	100	+
NC_000913.3	3497421	3497422	2	100	+
NC_000913.3	3497424	3497425	1	100	+
NC_000913.3	3497426	3497427	2	100	+
NC_000913.3	3497447	3497448	2	100	+
NC_000913.3	3497513	3497514	2	100	+
NC_000913.3	3497518	3497519	2	100	+
NC_000913.3	3497531	3497532	2	100	+
NC_000913.3	3497534	3497535	1	100	+
NC_000913.3	3497544	3497545	1	100	+
NC_000913.3	3497574	3497575	2	100	+
NC_000913.3	3497576	3497577	2	100	+
NC_000913.3	3497580	3497581	2	100	+
NC_000913.3	3497586	3497587	2	50	+
NC_000913.3	3497598	3497599	2	100	+
NC_000913.3	3497609	3497610	1	100	+
NC_000913.3	3497616	3497617	2	100	+
NC_000913.3	3497618	3497619	2	100	+
NC_000913.3	3497631	3497632	2	100	+
NC_000913.3	3497643	3497644	1	100	+
