names	start	values	strand
NC_000913.3	3496742	1.0	+
NC_000913.3	3496754	1.0	+
NC_000913.3	3496762	1.0	+
NC_000913.3	3496776	1.0	+
NC_000913.3	3496782	1.0	+
NC_000913.3	3496790	1.0	+
NC_000913.3	3496793	1.0	+
NC_000913.3	3496835	1.0	+
NC_000913.3	3496840	1.0	+
NC_000913.3	3496842	1.0	+
NC_000913.3	3496869	1.0	+
NC_000913.3	3496871	1.0	+
NC_000913.3	3496893	1.0	+
NC_000913.3	3496933	1.0	+
NC_000913.3	3497031	1.0	+
NC_000913.3	3497043	1.0	+
NC_000913.3	3497045	1.0	+
NC_000913.3	3497077	1.0	+
NC_000913.3	3497103	1.0	+
NC_000913.3	3497142	0.0	+
NC_000913.3	3497146	1.0	+
NC_000913.3	3497158	1.0	+
NC_000913.3	3497167	1.0	+
NC_000913.3	3497171	1.0	+
NC_000913.3	3497188	1.0	+
NC_000913.3	3497203	1.0	+
NC_000913.3	3497211	1.0	+
NC_000913.3	3497224	1.0	+
NC_000913.3	3497227	1.0	+
NC_000913.3	3497245	1.0	+
NC_000913.3	3497280	1.0	+
NC_000913.3	3497319	1.0	+
NC_000913.3	3497344	1.0	+
NC_000913.3	3497356	1.0	+
NC_000913.3	3497380	1.0	+
NC_000913.3	3497383	1.0	+
NC_000913.3	3497397	1.0	+
NC_000913.3	3497413	1.0	+
NC_000913.3	3497422	1.0	+
NC_000913.3	3497425	1.0	+
NC_000913.3	3497427	1.0	+
NC_000913.3	3497448	1.0	+
NC_000913.3	3497514	1.0	+
NC_000913.3	3497519	1.0	+
NC_000913.3	3497532	1.0	+
NC_000913.3	3497535	0.5	+
NC_000913.3	3497545	1.0	+
NC_000913.3	3497575	1.0	+
NC_000913.3	3497577	1.0	+
NC_000913.3	3497587	1.0	+
NC_000913.3	3497599	1.0	+
NC_000913.3	3497610	1.0	+
NC_000913.3	3497617	1.0	+
NC_000913.3	3497619	1.0	+
NC_000913.3	3497632	1.0	+
NC_000913.3	3497655	1.0	+
NC_000913.3	3497661	1.0	+
NC_000913.3	3497691	1.0	+
NC_000913.3	3497716	1.0	+
NC_000913.3	3497748	1.0	+
NC_000913.3	3497751	1.0	+
NC_000913.3	3497757	1.0	+
NC_000913.3	3497766	1.0	+
NC_000913.3	3497772	1.0	+
NC_000913.3	3497827	1.0	+
