Chr	Pos	Strand	Log.like.ratio	Read_ID
NC_000913.3	3499494	+	-0.62	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499526	+	-0.33	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499546	+	-0.12	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499563	+	8.26	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499591	+	1.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499597	+	1.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499631	+	4.21	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499641	+	4.21	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499654	+	0.34	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499657	+	0.34	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499673	+	3.65	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499679	+	3.65	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499708	+	0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499712	+	0.09	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499767	+	-0.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499769	+	-0.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499779	+	-0.13	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499883	+	2.08	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499906	+	0.65	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499931	+	0.46	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499939	+	0.46	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499951	+	-1.2	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499963	+	-0.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499966	+	-0.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499969	+	-0.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499978	+	-0.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499981	+	-0.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3499987	+	-0.77	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500025	+	-2.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500031	+	-2.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500034	+	-2.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500043	+	-2.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500050	+	-2.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500052	+	-2.16	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500065	+	0.03	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500082	+	-0.3	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500092	+	-0.3	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500100	+	-0.3	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500113	+	1.14	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500121	+	1.14	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500131	+	1.14	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500158	+	1.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500165	+	1.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500169	+	1.89	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500185	+	0.59	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500209	+	-2.95	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500214	+	-2.95	094dfe6b-23ed-4195-8876-805a399fade5
NC_000913.3	3500217	+	-2.95	094dfe6b-23ed-4195-8876-805a399fade5
