ID	Pos	Strand	Score
8386596c-ff56-4032-b54e-8f062c194b16	3496716	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3496718	+	-1.55
8386596c-ff56-4032-b54e-8f062c194b16	3496729	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3496742	+	1.31
8386596c-ff56-4032-b54e-8f062c194b16	3496754	+	0.427
8386596c-ff56-4032-b54e-8f062c194b16	3496762	+	-0.321
8386596c-ff56-4032-b54e-8f062c194b16	3496776	+	0.353
8386596c-ff56-4032-b54e-8f062c194b16	3496782	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3496790	+	1.55
8386596c-ff56-4032-b54e-8f062c194b16	3496793	+	0.461
8386596c-ff56-4032-b54e-8f062c194b16	3496811	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3496823	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3496835	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3496842	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3496853	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3496856	+	1.62
8386596c-ff56-4032-b54e-8f062c194b16	3496869	+	0.41
8386596c-ff56-4032-b54e-8f062c194b16	3496871	+	-0.617
8386596c-ff56-4032-b54e-8f062c194b16	3496886	+	0.575
8386596c-ff56-4032-b54e-8f062c194b16	3496893	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3496933	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497031	+	-1.39
8386596c-ff56-4032-b54e-8f062c194b16	3497038	+	-1.24
8386596c-ff56-4032-b54e-8f062c194b16	3497043	+	-0.261
8386596c-ff56-4032-b54e-8f062c194b16	3497054	+	0.21
8386596c-ff56-4032-b54e-8f062c194b16	3497073	+	-1.35
8386596c-ff56-4032-b54e-8f062c194b16	3497077	+	0.65
8386596c-ff56-4032-b54e-8f062c194b16	3497095	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497103	+	0.385
8386596c-ff56-4032-b54e-8f062c194b16	3497107	+	1.15
8386596c-ff56-4032-b54e-8f062c194b16	3497142	+	-1.03
8386596c-ff56-4032-b54e-8f062c194b16	3497146	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497158	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497167	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497171	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497188	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497190	+	-1.93
8386596c-ff56-4032-b54e-8f062c194b16	3497203	+	-0.217
8386596c-ff56-4032-b54e-8f062c194b16	3497211	+	-1.8
8386596c-ff56-4032-b54e-8f062c194b16	3497224	+	-1.39
8386596c-ff56-4032-b54e-8f062c194b16	3497227	+	-0.662
8386596c-ff56-4032-b54e-8f062c194b16	3497245	+	-0.968
8386596c-ff56-4032-b54e-8f062c194b16	3497280	+	0.535
8386596c-ff56-4032-b54e-8f062c194b16	3497296	+	-1.12
8386596c-ff56-4032-b54e-8f062c194b16	3497319	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497344	+	1.55
8386596c-ff56-4032-b54e-8f062c194b16	3497350	+	-0.14
8386596c-ff56-4032-b54e-8f062c194b16	3497356	+	1.8
8386596c-ff56-4032-b54e-8f062c194b16	3497380	+	-1.44
8386596c-ff56-4032-b54e-8f062c194b16	3497383	+	1.31
8386596c-ff56-4032-b54e-8f062c194b16	3497397	+	0.761
8386596c-ff56-4032-b54e-8f062c194b16	3497413	+	0.254
8386596c-ff56-4032-b54e-8f062c194b16	3497422	+	0.697
8386596c-ff56-4032-b54e-8f062c194b16	3497427	+	0.617
8386596c-ff56-4032-b54e-8f062c194b16	3497448	+	-0.498
8386596c-ff56-4032-b54e-8f062c194b16	3497514	+	-0.722
8386596c-ff56-4032-b54e-8f062c194b16	3497519	+	1.7
8386596c-ff56-4032-b54e-8f062c194b16	3497532	+	0.913
8386596c-ff56-4032-b54e-8f062c194b16	3497535	+	1.21
8386596c-ff56-4032-b54e-8f062c194b16	3497545	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497575	+	-1.1
8386596c-ff56-4032-b54e-8f062c194b16	3497577	+	1.12
8386596c-ff56-4032-b54e-8f062c194b16	3497581	+	-1.05
8386596c-ff56-4032-b54e-8f062c194b16	3497587	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497599	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497610	+	-0.879
8386596c-ff56-4032-b54e-8f062c194b16	3497619	+	-0.435
8386596c-ff56-4032-b54e-8f062c194b16	3497644	+	0.126
8386596c-ff56-4032-b54e-8f062c194b16	3497655	+	0.254
8386596c-ff56-4032-b54e-8f062c194b16	3497661	+	1.07
8386596c-ff56-4032-b54e-8f062c194b16	3497748	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497751	+	-1.12
8386596c-ff56-4032-b54e-8f062c194b16	3497757	+	-1.93
8386596c-ff56-4032-b54e-8f062c194b16	3497762	+	0.949
8386596c-ff56-4032-b54e-8f062c194b16	3497766	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497772	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497796	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497803	+	1.39
8386596c-ff56-4032-b54e-8f062c194b16	3497858	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497860	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497864	+	1.35
8386596c-ff56-4032-b54e-8f062c194b16	3497866	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497884	+	0.393
8386596c-ff56-4032-b54e-8f062c194b16	3497898	+	-0.453
8386596c-ff56-4032-b54e-8f062c194b16	3497903	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497926	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3497932	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497936	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497943	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3497958	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3497977	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3498007	+	-1.93
8386596c-ff56-4032-b54e-8f062c194b16	3498010	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3498037	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3498054	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3498063	+	-0.662
8386596c-ff56-4032-b54e-8f062c194b16	3498066	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3498076	+	-2.11
8386596c-ff56-4032-b54e-8f062c194b16	3498078	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3498089	+	-1.62
8386596c-ff56-4032-b54e-8f062c194b16	3498091	+	-1.93
8386596c-ff56-4032-b54e-8f062c194b16	3498097	+	-2.41
8386596c-ff56-4032-b54e-8f062c194b16	3498103	+	-2.41
