Chr	Pos_start	Pos_end	Coverage	Methylation	Strand
NC_000913.3	3499494	3499495	1	1	-
NC_000913.3	3499526	3499527	1	1	-
NC_000913.3	3499546	3499547	1	1	-
NC_000913.3	3499562	3499563	1	1	+
NC_000913.3	3499563	3499564	1	1	-
NC_000913.3	3499591	3499592	1	1	-
NC_000913.3	3499597	3499598	1	1	-
NC_000913.3	3499630	3499631	1	1	+
NC_000913.3	3499631	3499632	1	1	-
NC_000913.3	3499640	3499641	1	1	+
NC_000913.3	3499641	3499642	1	1	-
NC_000913.3	3499654	3499655	1	1	-
NC_000913.3	3499657	3499658	1	1	-
NC_000913.3	3499672	3499673	1	1	+
NC_000913.3	3499673	3499674	1	1	-
NC_000913.3	3499678	3499679	1	1	+
NC_000913.3	3499679	3499680	1	1	-
NC_000913.3	3499767	3499768	1	1	-
NC_000913.3	3499769	3499770	1	1	-
NC_000913.3	3499779	3499780	1	1	-
NC_000913.3	3499882	3499883	1	1	+
NC_000913.3	3499951	3499952	1	1	-
NC_000913.3	3499963	3499964	1	1	-
NC_000913.3	3499966	3499967	1	1	-
NC_000913.3	3499969	3499970	1	1	-
NC_000913.3	3499978	3499979	1	1	-
NC_000913.3	3499981	3499982	1	1	-
NC_000913.3	3499987	3499988	1	1	-
NC_000913.3	3500024	3500025	2	0.5	+
NC_000913.3	3500025	3500026	1	1	-
NC_000913.3	3500030	3500031	2	0.5	+
NC_000913.3	3500031	3500032	1	1	-
NC_000913.3	3500033	3500034	2	0.5	+
NC_000913.3	3500034	3500035	1	1	-
NC_000913.3	3500042	3500043	2	0.5	+
NC_000913.3	3500043	3500044	1	1	-
NC_000913.3	3500049	3500050	2	0.5	+
NC_000913.3	3500050	3500051	1	1	-
NC_000913.3	3500051	3500052	2	0.5	+
NC_000913.3	3500052	3500053	1	1	-
NC_000913.3	3500065	3500066	2	1	-
NC_000913.3	3500082	3500083	3	0.666666666666667	-
NC_000913.3	3500092	3500093	3	0.666666666666667	-
NC_000913.3	3500100	3500101	3	0.666666666666667	-
NC_000913.3	3500113	3500114	2	1	-
NC_000913.3	3500121	3500122	2	1	-
NC_000913.3	3500131	3500132	2	1	-
NC_000913.3	3500158	3500159	3	1	-
NC_000913.3	3500165	3500166	3	1	-
NC_000913.3	3500169	3500170	3	1	-
NC_000913.3	3500185	3500186	3	1	-
NC_000913.3	3500209	3500210	3	1	-
NC_000913.3	3500214	3500215	3	1	-
NC_000913.3	3500217	3500218	3	1	-
NC_000913.3	3500226	3500227	3	1	-
NC_000913.3	3500235	3500236	3	1	-
NC_000913.3	3500241	3500242	3	1	-
NC_000913.3	3500268	3500269	3	1	-
NC_000913.3	3500275	3500276	3	1	-
NC_000913.3	3500280	3500281	3	1	-
NC_000913.3	3500287	3500288	3	1	-
NC_000913.3	3500299	3500300	3	1	-
NC_000913.3	3500302	3500303	3	1	-
NC_000913.3	3500305	3500306	3	1	-
NC_000913.3	3500317	3500318	3	1	-
NC_000913.3	3500339	3500340	3	1	-
NC_000913.3	3500344	3500345	3	1	-
NC_000913.3	3500353	3500354	3	1	-
NC_000913.3	3500356	3500357	3	1	-
NC_000913.3	3500361	3500362	3	1	-
NC_000913.3	3500370	3500371	3	1	-
NC_000913.3	3500383	3500384	2	1	-
NC_000913.3	3500396	3500397	1	1	+
NC_000913.3	3500397	3500398	3	1	-
NC_000913.3	3500406	3500407	1	1	+
NC_000913.3	3500407	3500408	3	1	-
NC_000913.3	3500439	3500440	3	0.666666666666667	-
NC_000913.3	3500452	3500453	1	1	-
NC_000913.3	3500469	3500470	3	1	-
NC_000913.3	3500476	3500477	3	1	-
NC_000913.3	3500481	3500482	3	1	-
NC_000913.3	3500495	3500496	1	1	+
NC_000913.3	3500496	3500497	3	1	-
NC_000913.3	3500504	3500505	1	1	+
NC_000913.3	3500505	3500506	3	1	-
NC_000913.3	3500529	3500530	2	1	-
NC_000913.3	3500536	3500537	2	1	-
NC_000913.3	3500563	3500564	3	1	-
NC_000913.3	3500566	3500567	3	1	-
NC_000913.3	3500596	3500597	2	1	+
NC_000913.3	3500597	3500598	3	1	-
NC_000913.3	3500600	3500601	2	1	+
NC_000913.3	3500601	3500602	3	1	-
NC_000913.3	3500648	3500649	1	1	+
NC_000913.3	3500649	3500650	1	1	-
NC_000913.3	3500661	3500662	2	0.5	+
NC_000913.3	3500662	3500663	2	1	-
NC_000913.3	3500676	3500677	3	1	+
NC_000913.3	3500677	3500678	3	1	-
NC_000913.3	3500685	3500686	3	1	+
NC_000913.3	3500686	3500687	3	1	-
NC_000913.3	3500699	3500700	2	0.5	+
NC_000913.3	3500700	3500701	4	1	-
NC_000913.3	3500702	3500703	2	0.5	+
NC_000913.3	3500703	3500704	4	1	-
NC_000913.3	3500709	3500710	2	0.5	+
NC_000913.3	3500710	3500711	4	1	-
NC_000913.3	3500712	3500713	2	0.5	+
NC_000913.3	3500713	3500714	4	1	-
NC_000913.3	3500730	3500731	1	1	+
NC_000913.3	3500731	3500732	2	1	-
NC_000913.3	3500736	3500737	1	1	+
NC_000913.3	3500737	3500738	2	1	-
NC_000913.3	3500745	3500746	1	1	+
NC_000913.3	3500746	3500747	2	1	-
NC_000913.3	3500768	3500769	3	0.666666666666667	+
NC_000913.3	3500769	3500770	3	1	-
NC_000913.3	3500771	3500772	3	0.666666666666667	+
NC_000913.3	3500772	3500773	3	1	-
NC_000913.3	3500778	3500779	3	0.666666666666667	+
NC_000913.3	3500779	3500780	3	1	-
NC_000913.3	3500793	3500794	1	1	-
NC_000913.3	3500806	3500807	2	1	-
NC_000913.3	3500819	3500820	1	1	+
NC_000913.3	3500820	3500821	1	1	-
NC_000913.3	3500821	3500822	1	1	+
NC_000913.3	3500822	3500823	1	1	-
NC_000913.3	3500833	3500834	3	1	-
NC_000913.3	3500835	3500836	3	1	-
NC_000913.3	3500841	3500842	3	1	-
NC_000913.3	3500868	3500869	1	1	+
NC_000913.3	3500869	3500870	1	1	-
NC_000913.3	3500883	3500884	3	1	-
NC_000913.3	3500894	3500895	1	1	+
NC_000913.3	3500895	3500896	2	1	-
NC_000913.3	3500897	3500898	1	1	+
NC_000913.3	3500898	3500899	2	1	-
NC_000913.3	3500924	3500925	1	1	+
NC_000913.3	3500925	3500926	2	1	-
NC_000913.3	3500947	3500948	3	1	-
NC_000913.3	3500953	3500954	3	1	-
NC_000913.3	3501034	3501035	1	1	+
NC_000913.3	3501035	3501036	2	1	-
NC_000913.3	3501040	3501041	1	1	+
NC_000913.3	3501041	3501042	2	1	-
NC_000913.3	3501042	3501043	1	1	+
NC_000913.3	3501043	3501044	2	1	-
NC_000913.3	3501045	3501046	1	1	+
NC_000913.3	3501046	3501047	2	1	-
NC_000913.3	3501056	3501057	1	1	+
NC_000913.3	3501057	3501058	4	0.75	-
NC_000913.3	3501064	3501065	1	1	+
NC_000913.3	3501065	3501066	4	0.75	-
NC_000913.3	3501071	3501072	1	1	+
NC_000913.3	3501072	3501073	4	0.75	-
NC_000913.3	3501078	3501079	1	1	+
NC_000913.3	3501079	3501080	4	0.75	-
NC_000913.3	3501097	3501098	3	0.666666666666667	-
NC_000913.3	3501105	3501106	3	0.666666666666667	-
NC_000913.3	3501124	3501125	2	1	-
NC_000913.3	3501146	3501147	1	1	+
NC_000913.3	3501147	3501148	3	1	-
NC_000913.3	3501153	3501154	1	1	+
NC_000913.3	3501154	3501155	3	1	-
NC_000913.3	3501165	3501166	1	1	+
NC_000913.3	3501166	3501167	3	1	-
NC_000913.3	3501168	3501169	1	1	+
NC_000913.3	3501169	3501170	3	1	-
NC_000913.3	3501174	3501175	1	1	+
NC_000913.3	3501175	3501176	3	1	-
NC_000913.3	3501202	3501203	3	0.666666666666667	-
NC_000913.3	3501212	3501213	2	1	+
NC_000913.3	3501213	3501214	2	0.5	-
NC_000913.3	3501217	3501218	2	1	+
NC_000913.3	3501218	3501219	2	0.5	-
NC_000913.3	3501223	3501224	2	1	+
NC_000913.3	3501224	3501225	2	0.5	-
NC_000913.3	3501234	3501235	3	0.666666666666667	+
NC_000913.3	3501242	3501243	3	0.666666666666667	+
NC_000913.3	3501308	3501309	1	1	+
NC_000913.3	3501309	3501310	3	1	-
NC_000913.3	3501351	3501352	4	1	-
NC_000913.3	3501356	3501357	4	1	-
NC_000913.3	3501366	3501367	4	1	-
NC_000913.3	3501372	3501373	4	1	-
NC_000913.3	3501390	3501391	3	1	+
NC_000913.3	3501391	3501392	3	1	-
NC_000913.3	3501392	3501393	3	1	+
NC_000913.3	3501393	3501394	3	1	-
NC_000913.3	3501402	3501403	3	1	+
NC_000913.3	3501403	3501404	3	1	-
NC_000913.3	3501413	3501414	3	0.666666666666667	+
NC_000913.3	3501414	3501415	4	1	-
NC_000913.3	3501422	3501423	3	0.666666666666667	+
NC_000913.3	3501423	3501424	4	1	-
NC_000913.3	3501427	3501428	3	0.666666666666667	+
NC_000913.3	3501428	3501429	4	1	-
NC_000913.3	3501437	3501438	3	0.666666666666667	+
NC_000913.3	3501438	3501439	4	1	-
NC_000913.3	3501439	3501440	3	0.666666666666667	+
NC_000913.3	3501440	3501441	4	1	-
NC_000913.3	3501442	3501443	3	0.666666666666667	+
NC_000913.3	3501443	3501444	4	1	-
NC_000913.3	3501448	3501449	3	0.666666666666667	+
NC_000913.3	3501449	3501450	4	1	-
NC_000913.3	3501451	3501452	3	0.666666666666667	+
NC_000913.3	3501452	3501453	4	1	-
NC_000913.3	3501463	3501464	2	1	+
NC_000913.3	3501464	3501465	4	0.75	-
NC_000913.3	3501468	3501469	2	1	+
NC_000913.3	3501469	3501470	4	0.75	-
NC_000913.3	3501476	3501477	2	1	+
NC_000913.3	3501477	3501478	4	0.75	-
NC_000913.3	3501491	3501492	3	0.666666666666667	+
NC_000913.3	3501492	3501493	3	1	-
NC_000913.3	3501500	3501501	3	0.666666666666667	+
NC_000913.3	3501501	3501502	3	1	-
NC_000913.3	3501515	3501516	1	1	+
NC_000913.3	3501516	3501517	3	1	-
NC_000913.3	3501526	3501527	4	1	+
NC_000913.3	3501527	3501528	2	0.5	-
NC_000913.3	3501531	3501532	4	1	+
NC_000913.3	3501532	3501533	2	0.5	-
NC_000913.3	3501536	3501537	4	1	+
NC_000913.3	3501537	3501538	2	0.5	-
NC_000913.3	3501539	3501540	4	1	+
NC_000913.3	3501540	3501541	2	0.5	-
NC_000913.3	3501543	3501544	4	1	+
NC_000913.3	3501544	3501545	2	0.5	-
NC_000913.3	3501548	3501549	4	1	+
NC_000913.3	3501549	3501550	2	0.5	-
NC_000913.3	3501560	3501561	2	1	+
NC_000913.3	3501561	3501562	2	1	-
NC_000913.3	3501572	3501573	1	1	+
NC_000913.3	3501573	3501574	2	1	-
NC_000913.3	3501581	3501582	1	1	+
NC_000913.3	3501582	3501583	2	1	-
NC_000913.3	3501598	3501599	2	1	+
NC_000913.3	3501599	3501600	2	1	-
NC_000913.3	3501613	3501614	2	1	-
NC_000913.3	3501621	3501622	2	1	-
NC_000913.3	3501624	3501625	2	1	-
NC_000913.3	3501634	3501635	2	0.5	+
NC_000913.3	3501635	3501636	3	1	-
NC_000913.3	3501637	3501638	2	0.5	+
NC_000913.3	3501638	3501639	3	1	-
NC_000913.3	3501648	3501649	3	0.666666666666667	+
NC_000913.3	3501649	3501650	7	0.857142857142857	-
NC_000913.3	3501650	3501651	3	0.666666666666667	+
NC_000913.3	3501651	3501652	7	0.857142857142857	-
NC_000913.3	3501652	3501653	3	0.666666666666667	+
NC_000913.3	3501653	3501654	7	0.857142857142857	-
NC_000913.3	3501661	3501662	3	0.666666666666667	+
NC_000913.3	3501662	3501663	7	0.857142857142857	-
NC_000913.3	3501670	3501671	3	0.666666666666667	+
NC_000913.3	3501671	3501672	7	0.857142857142857	-
NC_000913.3	3501673	3501674	3	0.666666666666667	+
NC_000913.3	3501674	3501675	7	0.857142857142857	-
NC_000913.3	3501676	3501677	3	0.666666666666667	+
NC_000913.3	3501677	3501678	7	0.857142857142857	-
NC_000913.3	3501701	3501702	1	1	+
NC_000913.3	3501702	3501703	4	1	-
NC_000913.3	3501740	3501741	3	1	+
NC_000913.3	3501741	3501742	1	1	-
NC_000913.3	3501762	3501763	5	0.6	+
NC_000913.3	3501763	3501764	7	0.857142857142857	-
NC_000913.3	3501767	3501768	5	0.6	+
NC_000913.3	3501768	3501769	7	0.857142857142857	-
NC_000913.3	3501769	3501770	5	0.6	+
NC_000913.3	3501770	3501771	7	0.857142857142857	-
NC_000913.3	3501772	3501773	5	0.6	+
NC_000913.3	3501773	3501774	7	0.857142857142857	-
NC_000913.3	3501776	3501777	5	0.6	+
NC_000913.3	3501777	3501778	7	0.857142857142857	-
NC_000913.3	3501778	3501779	5	0.6	+
NC_000913.3	3501779	3501780	7	0.857142857142857	-
NC_000913.3	3501785	3501786	5	0.6	+
NC_000913.3	3501786	3501787	7	0.857142857142857	-
NC_000913.3	3501800	3501801	3	1	+
NC_000913.3	3501801	3501802	4	1	-
NC_000913.3	3501817	3501818	4	1	+
NC_000913.3	3501818	3501819	6	1	-
NC_000913.3	3501823	3501824	4	1	+
NC_000913.3	3501824	3501825	6	1	-
NC_000913.3	3501827	3501828	4	1	+
NC_000913.3	3501828	3501829	6	1	-
NC_000913.3	3501840	3501841	4	0.5	+
NC_000913.3	3501861	3501862	3	1	+
NC_000913.3	3501862	3501863	4	0.75	-
NC_000913.3	3501892	3501893	3	1	+
NC_000913.3	3501893	3501894	5	1	-
NC_000913.3	3501905	3501906	6	0.666666666666667	+
NC_000913.3	3501906	3501907	4	1	-
NC_000913.3	3501913	3501914	6	0.666666666666667	+
NC_000913.3	3501914	3501915	4	1	-
NC_000913.3	3501919	3501920	6	0.666666666666667	+
NC_000913.3	3501920	3501921	4	1	-
NC_000913.3	3501924	3501925	6	0.666666666666667	+
NC_000913.3	3501925	3501926	4	1	-
NC_000913.3	3501928	3501929	6	0.666666666666667	+
NC_000913.3	3501929	3501930	4	1	-
NC_000913.3	3501955	3501956	3	1	+
NC_000913.3	3501956	3501957	3	1	-
NC_000913.3	3501976	3501977	3	1	+
NC_000913.3	3501977	3501978	5	1	-
NC_000913.3	3501980	3501981	3	1	+
NC_000913.3	3501981	3501982	5	1	-
NC_000913.3	3501986	3501987	3	1	+
NC_000913.3	3501987	3501988	5	1	-
NC_000913.3	3501998	3501999	4	0.75	+
NC_000913.3	3501999	3502000	6	0.833333333333333	-
NC_000913.3	3502008	3502009	4	0.75	+
NC_000913.3	3502009	3502010	6	0.833333333333333	-
NC_000913.3	3502018	3502019	4	0.75	+
NC_000913.3	3502019	3502020	6	0.833333333333333	-
NC_000913.3	3502031	3502032	5	1	+
NC_000913.3	3502032	3502033	6	1	-
NC_000913.3	3502036	3502037	5	1	+
NC_000913.3	3502037	3502038	6	1	-
NC_000913.3	3502040	3502041	5	1	+
NC_000913.3	3502041	3502042	6	1	-
NC_000913.3	3502045	3502046	5	1	+
NC_000913.3	3502046	3502047	6	1	-
NC_000913.3	3502061	3502062	2	1	+
NC_000913.3	3502062	3502063	3	1	-
NC_000913.3	3502077	3502078	4	1	+
NC_000913.3	3502078	3502079	2	1	-
NC_000913.3	3502088	3502089	5	0.8	+
NC_000913.3	3502089	3502090	4	1	-
NC_000913.3	3502092	3502093	5	0.8	+
NC_000913.3	3502093	3502094	4	1	-
NC_000913.3	3502094	3502095	5	0.8	+
NC_000913.3	3502095	3502096	4	1	-
NC_000913.3	3502116	3502117	3	0.666666666666667	+
NC_000913.3	3502117	3502118	3	1	-
NC_000913.3	3502127	3502128	4	1	+
NC_000913.3	3502128	3502129	5	1	-
NC_000913.3	3502133	3502134	4	1	+
NC_000913.3	3502134	3502135	5	1	-
NC_000913.3	3502139	3502140	4	1	+
NC_000913.3	3502140	3502141	5	1	-
NC_000913.3	3502145	3502146	4	1	+
NC_000913.3	3502146	3502147	5	1	-
NC_000913.3	3502148	3502149	4	1	+
NC_000913.3	3502149	3502150	5	1	-
NC_000913.3	3502156	3502157	4	1	+
NC_000913.3	3502157	3502158	5	1	-
NC_000913.3	3502172	3502173	3	0.666666666666667	-
NC_000913.3	3502183	3502184	1	1	+
NC_000913.3	3502184	3502185	4	1	-
NC_000913.3	3502196	3502197	3	1	+
NC_000913.3	3502197	3502198	4	0.75	-
NC_000913.3	3502249	3502250	8	0.875	+
NC_000913.3	3502250	3502251	6	1	-
NC_000913.3	3502257	3502258	8	0.875	+
NC_000913.3	3502258	3502259	6	1	-
NC_000913.3	3502260	3502261	8	0.875	+
NC_000913.3	3502261	3502262	6	1	-
NC_000913.3	3502268	3502269	8	0.875	+
NC_000913.3	3502269	3502270	6	1	-
NC_000913.3	3502299	3502300	8	0.875	+
NC_000913.3	3502300	3502301	4	1	-
NC_000913.3	3502304	3502305	8	0.875	+
NC_000913.3	3502305	3502306	4	1	-
NC_000913.3	3502310	3502311	8	0.875	+
NC_000913.3	3502311	3502312	4	1	-
NC_000913.3	3502315	3502316	8	0.875	+
NC_000913.3	3502316	3502317	4	1	-
NC_000913.3	3502323	3502324	8	0.875	+
NC_000913.3	3502324	3502325	4	1	-
NC_000913.3	3502338	3502339	4	1	-
NC_000913.3	3502362	3502363	6	0.666666666666667	+
NC_000913.3	3502363	3502364	3	1	-
NC_000913.3	3502372	3502373	6	0.666666666666667	+
NC_000913.3	3502373	3502374	3	1	-
NC_000913.3	3502389	3502390	5	0.8	+
NC_000913.3	3502396	3502397	5	0.8	+
NC_000913.3	3502407	3502408	3	0.333333333333333	+
NC_000913.3	3502408	3502409	2	1	-
NC_000913.3	3502419	3502420	6	0.833333333333333	+
NC_000913.3	3502420	3502421	5	1	-
NC_000913.3	3502422	3502423	6	0.833333333333333	+
NC_000913.3	3502423	3502424	5	1	-
NC_000913.3	3502428	3502429	6	0.833333333333333	+
NC_000913.3	3502429	3502430	5	1	-
NC_000913.3	3502440	3502441	7	0.857142857142857	+
NC_000913.3	3502441	3502442	5	1	-
NC_000913.3	3502444	3502445	7	0.857142857142857	+
NC_000913.3	3502445	3502446	5	1	-
NC_000913.3	3502448	3502449	7	0.857142857142857	+
NC_000913.3	3502449	3502450	5	1	-
NC_000913.3	3502452	3502453	7	0.857142857142857	+
NC_000913.3	3502453	3502454	5	1	-
NC_000913.3	3502454	3502455	7	0.857142857142857	+
NC_000913.3	3502455	3502456	5	1	-
NC_000913.3	3502458	3502459	7	0.857142857142857	+
NC_000913.3	3502459	3502460	5	1	-
NC_000913.3	3502460	3502461	7	0.857142857142857	+
NC_000913.3	3502461	3502462	5	1	-
NC_000913.3	3502463	3502464	7	0.857142857142857	+
NC_000913.3	3502464	3502465	5	1	-
NC_000913.3	3502475	3502476	5	1	+
NC_000913.3	3502476	3502477	6	1	-
NC_000913.3	3502479	3502480	5	1	+
NC_000913.3	3502480	3502481	6	1	-
NC_000913.3	3502499	3502500	5	0.8	+
NC_000913.3	3502500	3502501	5	1	-
NC_000913.3	3502505	3502506	5	0.8	+
NC_000913.3	3502506	3502507	5	1	-
NC_000913.3	3502511	3502512	5	0.8	+
NC_000913.3	3502512	3502513	5	1	-
NC_000913.3	3502523	3502524	7	0.857142857142857	+
NC_000913.3	3502524	3502525	5	1	-
NC_000913.3	3502530	3502531	7	0.857142857142857	+
NC_000913.3	3502531	3502532	5	1	-
NC_000913.3	3502538	3502539	7	0.857142857142857	+
NC_000913.3	3502539	3502540	5	1	-
NC_000913.3	3502551	3502552	7	0.857142857142857	+
NC_000913.3	3502552	3502553	5	0.8	-
NC_000913.3	3502559	3502560	7	0.857142857142857	+
NC_000913.3	3502560	3502561	5	0.8	-
NC_000913.3	3502578	3502579	3	0.666666666666667	+
NC_000913.3	3502579	3502580	3	1	-
NC_000913.3	3502591	3502592	6	1	+
NC_000913.3	3502592	3502593	6	1	-
NC_000913.3	3502594	3502595	6	1	+
NC_000913.3	3502595	3502596	6	1	-
NC_000913.3	3502596	3502597	6	1	+
NC_000913.3	3502597	3502598	6	1	-
NC_000913.3	3502605	3502606	6	1	+
NC_000913.3	3502606	3502607	6	1	-
NC_000913.3	3502622	3502623	5	0.8	+
NC_000913.3	3502623	3502624	3	1	-
NC_000913.3	3502647	3502648	9	0.555555555555556	+
NC_000913.3	3502648	3502649	8	0.75	-
NC_000913.3	3502649	3502650	9	0.555555555555556	+
NC_000913.3	3502650	3502651	8	0.75	-
NC_000913.3	3502658	3502659	9	0.555555555555556	+
NC_000913.3	3502659	3502660	8	0.75	-
NC_000913.3	3502668	3502669	9	0.555555555555556	+
NC_000913.3	3502669	3502670	8	0.75	-
NC_000913.3	3502670	3502671	9	0.555555555555556	+
NC_000913.3	3502671	3502672	8	0.75	-
NC_000913.3	3502677	3502678	9	0.555555555555556	+
NC_000913.3	3502678	3502679	8	0.75	-
NC_000913.3	3502679	3502680	9	0.555555555555556	+
NC_000913.3	3502680	3502681	8	0.75	-
NC_000913.3	3502691	3502692	3	1	+
NC_000913.3	3502692	3502693	1	1	-
NC_000913.3	3502714	3502715	5	1	+
NC_000913.3	3502734	3502735	4	1	+
NC_000913.3	3502735	3502736	2	1	-
NC_000913.3	3502749	3502750	8	0.75	+
NC_000913.3	3502750	3502751	4	1	-
NC_000913.3	3502751	3502752	8	0.75	+
NC_000913.3	3502752	3502753	4	1	-
NC_000913.3	3502761	3502762	8	0.75	+
NC_000913.3	3502762	3502763	4	1	-
NC_000913.3	3502779	3502780	9	1	+
NC_000913.3	3502780	3502781	7	1	-
NC_000913.3	3502784	3502785	9	1	+
NC_000913.3	3502785	3502786	7	1	-
NC_000913.3	3502790	3502791	9	1	+
NC_000913.3	3502791	3502792	7	1	-
NC_000913.3	3502793	3502794	9	1	+
NC_000913.3	3502794	3502795	7	1	-
NC_000913.3	3502802	3502803	9	1	+
NC_000913.3	3502803	3502804	7	1	-
NC_000913.3	3502806	3502807	9	1	+
NC_000913.3	3502807	3502808	7	1	-
NC_000913.3	3502809	3502810	9	1	+
NC_000913.3	3502810	3502811	7	1	-
NC_000913.3	3502838	3502839	4	0.75	+
NC_000913.3	3502839	3502840	6	0.833333333333333	-
NC_000913.3	3502844	3502845	4	0.75	+
NC_000913.3	3502845	3502846	6	0.833333333333333	-
NC_000913.3	3502856	3502857	8	0.875	+
NC_000913.3	3502857	3502858	6	0.833333333333333	-
NC_000913.3	3502859	3502860	8	0.875	+
NC_000913.3	3502860	3502861	6	0.833333333333333	-
NC_000913.3	3502861	3502862	8	0.875	+
NC_000913.3	3502862	3502863	6	0.833333333333333	-
NC_000913.3	3502878	3502879	6	1	+
NC_000913.3	3502879	3502880	7	0.714285714285714	-
NC_000913.3	3502887	3502888	6	1	+
NC_000913.3	3502888	3502889	7	0.714285714285714	-
NC_000913.3	3502889	3502890	6	1	+
NC_000913.3	3502890	3502891	7	0.714285714285714	-
NC_000913.3	3502892	3502893	6	1	+
NC_000913.3	3502893	3502894	7	0.714285714285714	-
NC_000913.3	3502904	3502905	5	1	+
NC_000913.3	3502905	3502906	3	1	-
NC_000913.3	3502910	3502911	5	1	+
NC_000913.3	3502911	3502912	3	1	-
NC_000913.3	3502926	3502927	4	1	+
